,epoch,loss
0,0.0,0.11584723740816116
1,1.0,0.09956902265548706
2,2.0,0.09486334025859833
3,3.0,0.09348510205745697
4,4.0,0.09308671206235886
5,5.0,0.09293385595083237
6,6.0,0.0928841233253479
7,7.0,0.09287156164646149
8,8.0,0.0928712785243988
9,9.0,0.09287422895431519
10,10.0,0.0928773432970047
11,11.0,0.09287981688976288
12,12.0,0.09288156032562256
13,13.0,0.0928826853632927
14,14.0,0.09288334846496582
15,15.0,0.09288366138935089
16,16.0,0.09288370609283447
17,17.0,0.09288354218006134
18,18.0,0.09288319945335388
19,19.0,0.09288264811038971
20,20.0,0.09288191795349121
21,21.0,0.09288093447685242
22,22.0,0.09287971258163452
23,23.0,0.09287822246551514
24,24.0,0.09287647157907486
25,25.0,0.0928744375705719
26,26.0,0.09287217259407043
27,27.0,0.09286968410015106
28,28.0,0.09286700934171677
29,29.0,0.09286418557167053
# <bound method Module.parameters of simple_ANN(   (l1): Linear(in_features=14, out_features=50, bias=True)   (l2): Linear(in_features=50, out_features=100, bias=True)   (l3): Linear(in_features=100, out_features=20, bias=True)   (output): Linear(in_features=20, out_features=8, bias=True)   (act): Sigmoid() )>\n
