,load_time_consume(s),test_time_consume(s),data_size
0,-0.7519948482513428,0.02797245979309082,3000
1,-0.7390377521514893,0.02596139907836914,4000
2,-0.758023738861084,0.031975746154785156,5000
3,-0.736025333404541,0.055975914001464844,6000
4,-0.7360320091247559,0.05196738243103027,7000
5,-0.7460277080535889,0.05297279357910156,8000
6,-0.7340004444122314,0.061003923416137695,9000
7,-0.7370305061340332,0.06396937370300293,10000
8,-0.7420022487640381,0.06899690628051758,11000
9,-0.7370009422302246,0.07399988174438477,12000
10,-0.7350015640258789,0.11699986457824707,13000
11,-0.752032995223999,0.09996700286865234,14000
12,-0.7330029010772705,0.09399676322937012,15000
13,-0.7270004749298096,0.11900043487548828,16000
14,-0.7410380840301514,0.1109619140625,17000
15,-0.73858642578125,0.11996865272521973,18000
16,-0.750025749206543,0.12397289276123047,19000
17,-0.7320303916931152,0.16997003555297852,20000
18,-0.737030029296875,0.12897038459777832,21000
19,-0.7330024242401123,0.14299774169921875,22000
20,-0.74003005027771,0.14096975326538086,23000
21,-0.7250247001647949,0.17197513580322266,24000
22,-0.7340009212493896,0.1679997444152832,25000
23,-0.7395405769348145,0.16697072982788086,26000
24,-0.7340028285980225,0.17499804496765137,27000
25,-0.7300300598144531,0.18596959114074707,28000
26,-0.7355906963348389,0.20197725296020508,29000
27,-0.7520296573638916,0.2439708709716797,30000
28,-0.7450017929077148,0.2149975299835205,31000
29,-0.7279996871948242,0.22100067138671875,32000
30,-0.7320258617401123,0.22997355461120605,33000
31,-0.7480294704437256,0.24097013473510742,34000
32,-0.7340312004089355,0.23996925354003906,35000
33,-0.7410299777984619,0.2499711513519287,36000
34,-0.7549996376037598,0.2689990997314453,37000
35,-0.7690024375915527,0.23999810218811035,38000
36,-0.7400298118591309,0.24097084999084473,39000
