,loss_dataset_1,loss_dataset_2,data_size
0,-0.0029254826,-0.0025810094,3000
1,-0.0026751515,-0.0024738677,4000
2,-0.0027512193,-0.0026822549,5000
3,-0.0026713181,-0.0025420184,6000
4,-0.0026186835,-0.002568103,7000
5,-0.002596286,-0.002784162,8000
6,-0.0026163124,-0.002772465,9000
7,-0.0025647748,-0.0028480208,10000
8,-0.0026520889,-0.0028242879,11000
9,-0.0026641868,-0.0028594946,12000
10,-0.0026036205,-0.0028919429,13000
11,-0.0025759267,-0.0027935018,14000
12,-0.0026952543,-0.0028534997,15000
13,-0.0027686276,-0.0027799169,16000
14,-0.0027374595,-0.0028458906,17000
15,-0.0027216394,-0.0029403213,18000
16,-0.0026966224,-0.0029341432,19000
17,-0.0027491858,-0.0029534327,20000
18,-0.0027897023,-0.0029942403,21000
19,-0.0027580664,-0.0029216148,22000
20,-0.0027823064,-0.0029594868,23000
21,-0.0027620941,-0.0029332193,24000
22,-0.0027978884,-0.0028730228,25000
23,-0.002775702,-0.0029022142,26000
24,-0.0028109448,-0.0029363723,27000
25,-0.0028299943,-0.0029475198,28000
26,-0.00281629,-0.0029436548,29000
27,-0.0028007813,-0.0029675465,30000
28,-0.0028019475,-0.0029361967,31000
29,-0.0028065962,-0.0029356575,32000
30,-0.0027779632,-0.0029152085,33000
31,-0.0027542918,-0.0029288074,34000
32,-0.002724935,-0.002934511,35000
33,-0.002726372,-0.0029341904,36000
34,-0.0027126262,-0.0029282968,37000
35,-0.002728936,-0.00289571,38000
36,-0.002724246,-0.0028763618,39000
