,loss_dataset_1,loss_dataset_2,data_size
0,-0.0035565167,-0.003227882,3000
1,-0.0034726525,-0.003452287,4000
2,-0.0034689053,-0.0037751,5000
3,-0.0034952105,-0.003701064,6000
4,-0.0035584718,-0.0037292617,7000
5,-0.0034735715,-0.0036600775,8000
6,-0.003437007,-0.003657736,9000
7,-0.0034578322,-0.003636584,10000
8,-0.0034545197,-0.0036011522,11000
9,-0.0034549253,-0.0037727393,12000
10,-0.0034857818,-0.003795476,13000
11,-0.003533704,-0.00380951,14000
12,-0.0035403625,-0.0038653696,15000
13,-0.0035424947,-0.0038563397,16000
14,-0.0035371305,-0.0038992995,17000
15,-0.0035624513,-0.003932359,18000
16,-0.0035516594,-0.0039540157,19000
17,-0.003561616,-0.0039356565,20000
18,-0.003556491,-0.003930641,21000
19,-0.0036377423,-0.0039031368,22000
20,-0.003623724,-0.003859182,23000
21,-0.0035850927,-0.0038580077,24000
22,-0.003586352,-0.0038539616,25000
23,-0.0035879088,-0.0038581726,26000
24,-0.0035793928,-0.0038328504,27000
25,-0.003598161,-0.0038265893,28000
26,-0.0035951084,-0.0037867527,29000
27,-0.0035799097,-0.0037696671,30000
28,-0.0035755143,-0.0037596177,31000
29,-0.003550716,-0.0037236437,32000
30,-0.0035194333,-0.0037559264,33000
31,-0.0035084,-0.0037615325,34000
32,-0.003525515,-0.003734556,35000
33,-0.0035081075,-0.0037203117,36000
34,-0.0035195474,-0.003741985,37000
35,-0.003514642,-0.0037073677,38000
36,-0.0035130593,-0.0037465326,39000
