,T,P,v_1_g,v_2_g,l_1_g,l_2_g,V_g,L_g,v_1_p,v_2_p,l_1_p,l_2_p,V_p,L_p
0,310,100000.0,0.5,0.5,0.0,0.0,1.0,0.0,0.4992329,0.4918703,-0.005459394,0.025817838,0.9940095,0.002958119
1,310,100900.9009009009,0.5,0.5,0.0,0.0,1.0,0.0,0.49899542,0.49182892,-0.0055054724,0.02723565,0.99532115,0.0015514791
2,310,101801.8018018018,0.5,0.5,0.0,0.0,1.0,0.0,0.49875867,0.49178666,-0.0055514458,0.028645692,0.99662364,0.00015431643
3,310,102702.7027027027,0.5,0.5,0.0,0.0,1.0,0.0,0.49852228,0.4917435,-0.0055973185,0.030048436,0.9979173,-0.0012338161
4,310,103603.60360360361,0.5,0.5,0.0,0.0,1.0,0.0,0.49828666,0.49169946,-0.0056430707,0.031443182,0.9992017,-0.002612114
5,310,104504.5045045045,0.5,0.5,0.0,0.0,1.0,0.0,0.49805155,0.4916547,-0.0056886943,0.0328302,1.0004768,-0.003981054
6,310,105405.4054054054,0.5,0.5,0.0,0.0,1.0,0.0,0.4978172,0.491609,-0.005734239,0.034209564,1.001743,-0.0053405166
7,310,106306.3063063063,0.5,0.5,0.0,0.0,1.0,0.0,0.49758357,0.49156263,-0.0057796617,0.035580646,1.0029999,-0.006690502
8,310,107207.2072072072,0.5,0.5,0.0,0.0,1.0,0.0,0.49735236,0.49151558,-0.0058251894,0.036942456,1.00425,-0.008033305
9,310,108108.1081081081,0.5,0.5,0.0,0.0,1.0,0.0,0.49712193,0.49146762,-0.0058705723,0.03829618,1.0054907,-0.0093661845
10,310,109009.00900900901,0.5,0.5,0.0,0.0,1.0,0.0,0.49689204,0.4914189,-0.0059158476,0.039641988,1.0067217,-0.010689467
11,310,109909.90990990991,0.5,0.5,0.0,0.0,1.0,0.0,0.49666286,0.4913693,-0.0059610186,0.04097992,1.0079437,-0.012003034
12,310,110810.81081081081,0.5,0.5,0.0,0.0,1.0,0.0,0.49643418,0.49131897,-0.006006069,0.042309873,1.0091563,-0.013306916
13,310,111711.71171171172,0.5,0.5,0.0,0.0,1.0,0.0,0.49620613,0.49126768,-0.006050973,0.043631878,1.0103594,-0.014601111
14,310,112612.61261261262,0.5,0.5,0.0,0.0,1.0,0.0,0.49597883,0.49121568,-0.006095795,0.04494576,1.0115529,-0.015885353
15,310,113513.51351351352,0.5,0.5,0.0,0.0,1.0,0.0,0.4957521,0.49116284,-0.0061404863,0.046251763,1.0127373,-0.017160028
16,310,114414.41441441441,0.5,0.5,0.0,0.0,1.0,0.0,0.49552587,0.49110913,-0.0061850743,0.047549874,1.0139122,-0.018424958
17,310,115315.31531531531,0.5,0.5,0.0,0.0,1.0,0.0,0.49530035,0.4910547,-0.0062295054,0.048839726,1.0150775,-0.019679993
18,310,116216.21621621621,0.5,0.5,0.0,0.0,1.0,0.0,0.49507546,0.49099928,-0.0062738275,0.05012148,1.0162333,-0.020925105
19,310,117117.11711711712,0.5,0.5,0.0,0.0,1.0,0.0,0.4948511,0.4909432,-0.006318019,0.05139502,1.0173792,-0.022160232
20,310,118018.01801801802,0.5,0.5,0.0,0.0,1.0,0.0,0.49462762,0.49088627,-0.006362076,0.052660458,1.0185158,-0.023385555
21,310,118918.91891891892,0.5,0.5,0.0,0.0,1.0,0.0,0.4944047,0.4908285,-0.006406026,0.05391769,1.0196428,-0.024600893
22,310,119819.81981981982,0.5,0.5,0.0,0.0,1.0,0.0,0.4941824,0.4907699,-0.0064498405,0.055166766,1.0207602,-0.025806278
23,310,120720.72072072072,0.5,0.5,0.0,0.0,1.0,0.0,0.4939608,0.49071056,-0.00649352,0.056407742,1.0218681,-0.027001798
24,310,121621.62162162163,0.5,0.5,0.0,0.0,1.0,0.0,0.49373972,0.49065036,-0.0065370887,0.057640623,1.0229664,-0.028187484
25,310,122522.52252252251,0.5,0.5,0.0,0.0,1.0,0.0,0.49351928,0.4905894,-0.006580514,0.058865167,1.0240549,-0.029363126
26,310,123423.42342342342,0.5,0.5,0.0,0.0,1.0,0.0,0.49329957,0.49052757,-0.0066238283,0.060081553,1.0251341,-0.030528843
27,310,124324.32432432432,0.5,0.5,0.0,0.0,1.0,0.0,0.49308056,0.490465,-0.006666981,0.061289523,1.0262032,-0.03168443
28,310,125225.22522522522,0.5,0.5,0.0,0.0,1.0,0.0,0.492862,0.4904017,-0.0067100306,0.062489748,1.0272632,-0.032830477
29,310,126126.12612612612,0.5,0.5,0.0,0.0,1.0,0.0,0.4926443,0.49033743,-0.0067528975,0.063681245,1.0283132,-0.033966035
30,310,127027.02702702703,0.5,0.5,0.0,0.0,1.0,0.0,0.4924271,0.4902725,-0.0067956764,0.06486487,1.029354,-0.035092056
31,310,127927.92792792793,0.5,0.5,0.0,0.0,1.0,0.0,0.4922107,0.49020672,-0.006838324,0.06604018,1.0303848,-0.036208063
32,310,128828.82882882883,0.5,0.5,0.0,0.0,1.0,0.0,0.4919949,0.4901402,-0.006880817,0.06720703,1.0314059,-0.03731379
33,310,129729.72972972973,0.5,0.5,0.0,0.0,1.0,0.0,0.49177963,0.49007282,-0.0069231736,0.06836591,1.0324178,-0.03840983
34,310,130630.63063063062,0.5,0.5,0.0,0.0,1.0,0.0,0.49156517,0.49000472,-0.0069653993,0.069516346,1.0334197,-0.039495736
35,310,131531.53153153154,0.5,0.5,0.0,0.0,1.0,0.0,0.4913513,0.48993582,-0.0070074704,0.07065853,1.0344121,-0.04057163
36,310,132432.43243243243,0.5,0.5,0.0,0.0,1.0,0.0,0.49113813,0.4898661,-0.007049422,0.071792595,1.0353948,-0.04163778
37,310,133333.3333333333,0.5,0.5,0.0,0.0,1.0,0.0,0.4909256,0.48979574,-0.007091219,0.072918184,1.0363679,-0.042693704
38,310,134234.23423423423,0.5,0.5,0.0,0.0,1.0,0.0,0.49071372,0.4897245,-0.007132887,0.07403581,1.0373317,-0.043739974
39,310,135135.13513513515,0.5,0.5,0.0,0.0,1.0,0.0,0.49050245,0.4896525,-0.00717441,0.075145185,1.0382857,-0.04477617
40,310,136036.03603603604,0.5,0.5,0.0,0.0,1.0,0.0,0.49075633,0.48908937,-0.006773006,0.081042774,1.0365978,-0.043056786
41,310,136936.93693693692,0.5,0.5,0.0,0.0,1.0,0.0,0.49109656,0.4884351,-0.006289817,0.087816454,1.0344155,-0.040821344
42,310,137837.83783783784,0.5,0.5,0.0,0.0,1.0,0.0,0.491435,0.48778254,-0.005808736,0.09455788,1.032237,-0.038590252
43,310,138738.73873873873,0.5,0.5,0.0,0.0,1.0,0.0,0.49177146,0.48713195,-0.0053300485,0.10126339,1.0300639,-0.036364555
44,310,139639.63963963964,0.5,0.5,0.0,0.0,1.0,0.0,0.49210602,0.4864834,-0.004853652,0.107934244,1.0278958,-0.034144342
45,310,140540.54054054053,0.5,0.5,0.0,0.0,1.0,0.0,0.49243867,0.48583674,-0.004379495,0.114571065,1.0257324,-0.031929016
46,310,141441.44144144145,0.5,0.5,0.0,0.0,1.0,0.0,0.49276948,0.48519212,-0.003907739,0.12117209,1.0235746,-0.029719591
47,310,142342.34234234234,0.5,0.5,0.0,0.0,1.0,0.0,0.49309826,0.48454946,-0.0034382278,0.12773906,1.0214216,-0.027515322
48,310,143243.24324324325,0.5,0.5,0.0,0.0,1.0,0.0,0.49342525,0.4839087,-0.0029709945,0.13427179,1.0192735,-0.025316209
49,310,144144.14414414414,0.5,0.5,0.0,0.0,1.0,0.0,0.49375027,0.48326987,-0.0025060633,0.14076994,1.0171305,-0.02312243
50,310,145045.04504504503,0.5,0.5,0.0,0.0,1.0,0.0,0.4940733,0.48263305,-0.0020434512,0.1472331,1.014993,-0.020934492
51,310,145945.94594594595,0.5,0.5,0.0,0.0,1.0,0.0,0.49439442,0.48199844,-0.0015832363,0.15366033,1.012861,-0.018752337
52,310,146846.84684684683,0.5,0.5,0.0,0.0,1.0,0.0,0.4947136,0.48136565,-0.0011252947,0.16005372,1.0107343,-0.016575664
53,310,147747.74774774775,0.5,0.5,0.0,0.0,1.0,0.0,0.49503085,0.48073494,-0.0006696889,0.16641189,1.0086129,-0.014404744
54,310,148648.64864864864,0.5,0.5,0.0,0.0,1.0,0.0,0.49534595,0.4801064,-0.0002164822,0.17273404,1.0064973,-0.012239933
55,310,149549.54954954956,0.5,0.5,0.0,0.0,1.0,0.0,0.49565938,0.47947973,0.00023447257,0.17902279,1.0043867,-0.010080218
56,310,150450.45045045044,0.5,0.5,0.0,0.0,1.0,0.0,0.49597058,0.47885528,0.0006829798,0.18527487,1.0022824,-0.007927269
57,310,151351.35135135136,0.5,0.5,0.0,0.0,1.0,0.0,0.4962799,0.4782327,0.0011292025,0.19149277,1.0001832,-0.005779743
58,310,152252.25225225225,0.5,0.5,0.0,0.0,1.0,0.0,0.49658716,0.4776122,0.0015730765,0.19767575,0.9980897,-0.0036382973
59,310,153153.15315315314,0.5,0.5,0.0,0.0,1.0,0.0,0.49689248,0.47699398,0.002014542,0.20382263,0.99600244,-0.0015032291
60,310,154054.05405405405,0.5,0.5,0.0,0.0,1.0,0.0,0.49719584,0.47637767,0.0024536932,0.20993525,0.9939205,0.0006261468
61,310,154954.95495495497,0.5,0.5,0.0,0.0,1.0,0.0,0.49749714,0.47576347,0.002890504,0.21601275,0.9918443,0.0027495027
62,310,155855.85585585586,0.5,0.5,0.0,0.0,1.0,0.0,0.49779642,0.4751515,0.0033248905,0.22205457,0.9897744,0.0048662424
