,epoch,loss
0,1.0,0.19058401882648468
1,2.0,0.18821501731872559
2,3.0,0.1859077513217926
3,4.0,0.18366098403930664
4,5.0,0.18147346377372742
5,6.0,0.17934374511241913
6,7.0,0.17727074027061462
7,8.0,0.1752539575099945
8,9.0,0.17329303920269012
9,10.0,0.17138779163360596
10,11.0,0.16953779757022858
11,12.0,0.16774247586727142
12,13.0,0.1660011112689972
13,14.0,0.16431280970573425
14,15.0,0.16267657279968262
15,16.0,0.16109134256839752
16,17.0,0.15955612063407898
17,18.0,0.15806978940963745
18,19.0,0.15663133561611176
# <bound method Module.parameters of simple_ANN(
  (l1): Linear(in_features=10, out_features=50, bias=True)
  (l2): Linear(in_features=50, out_features=100, bias=True)
  (l3): Linear(in_features=100, out_features=20, bias=True)
  (output): Linear(in_features=20, out_features=6, bias=True)
  (act): Sigmoid()
)>/n
