,loss_dataset_1,loss_dataset_2,data_size
0,-0.004480548,-0.004633287,3000
1,-0.0045599337,-0.004357868,4000
2,-0.004517919,-0.004406544,5000
3,-0.004575262,-0.0045678033,6000
4,-0.0045304373,-0.0045719296,7000
5,-0.004596509,-0.0044988715,8000
6,-0.004530417,-0.0045949346,9000
7,-0.0045156656,-0.0047014225,10000
8,-0.00447869,-0.0046458915,11000
9,-0.0045304457,-0.004646263,12000
10,-0.0044825054,-0.004670223,13000
11,-0.00444732,-0.0046184724,14000
12,-0.004424376,-0.004635933,15000
13,-0.004436752,-0.0046611847,16000
14,-0.004436456,-0.0046355324,17000
15,-0.004396739,-0.0046618776,18000
16,-0.004396526,-0.004693648,19000
17,-0.004373708,-0.004648628,20000
18,-0.004357662,-0.0046260688,21000
19,-0.004339481,-0.004622086,22000
20,-0.0043500355,-0.004611018,23000
21,-0.004372799,-0.0046448493,24000
22,-0.0043754,-0.0046334476,25000
23,-0.0043611135,-0.004631569,26000
24,-0.004357352,-0.0046375496,27000
25,-0.0043332158,-0.0046427674,28000
26,-0.0043328926,-0.004625175,29000
27,-0.004330506,-0.0046070106,30000
28,-0.004357779,-0.004598063,31000
29,-0.004339755,-0.004602011,32000
30,-0.00434783,-0.0045825606,33000
31,-0.004358532,-0.0046021626,34000
32,-0.0043572267,-0.004605539,35000
33,-0.004351679,-0.0046125897,36000
34,-0.004347412,-0.0046077883,37000
35,-0.004352155,-0.0045926366,38000
36,-0.004366532,-0.004588786,39000
