,loss_dataset_1,loss_dataset_2,data_size
0,-0.0029947674,-0.004378137,3000
1,-0.003066875,-0.0041976096,4000
2,-0.0029854483,-0.0037473773,5000
3,-0.0029468425,-0.0037135303,6000
4,-0.002790003,-0.003618716,7000
5,-0.0028480561,-0.0037792127,8000
6,-0.0028379345,-0.003618805,9000
7,-0.0028473204,-0.0036212227,10000
8,-0.0028831344,-0.0035812566,11000
9,-0.0028833793,-0.0036069804,12000
10,-0.0028648865,-0.0036410398,13000
11,-0.0029025888,-0.0036205116,14000
12,-0.0028899908,-0.0035490224,15000
13,-0.0029413248,-0.0035023247,16000
14,-0.002881821,-0.0035635447,17000
15,-0.0029303217,-0.0036161598,18000
16,-0.0029401174,-0.0036687867,19000
17,-0.0029701027,-0.0036293836,20000
18,-0.00299571,-0.0036701981,21000
19,-0.0029776099,-0.0036380999,22000
20,-0.0029544467,-0.0035882385,23000
21,-0.0029599129,-0.0035903393,24000
22,-0.0029463824,-0.0036084657,25000
23,-0.0029391386,-0.003560658,26000
24,-0.0029632563,-0.0035300679,27000
25,-0.002970343,-0.003536536,28000
26,-0.002967511,-0.0035024357,29000
27,-0.0029394226,-0.0034453643,30000
28,-0.0029455014,-0.003433538,31000
29,-0.0029475086,-0.0033992298,32000
30,-0.0029381057,-0.0033679395,33000
31,-0.0029418191,-0.0033294263,34000
32,-0.002938013,-0.0033102408,35000
33,-0.0029464313,-0.003318077,36000
34,-0.0029471982,-0.0033104755,37000
35,-0.002939758,-0.0033162967,38000
36,-0.0029681695,-0.003314433,39000
