,epoch,loss
0,0.0,0.2486436665058136
1,1.0,0.24700020253658295
2,2.0,0.2454323023557663
3,3.0,0.24394342303276062
4,4.0,0.242536723613739
5,5.0,0.24121464788913727
6,6.0,0.2399783730506897
7,7.0,0.2388288825750351
8,8.0,0.23776595294475555
9,9.0,0.23678851127624512
10,10.0,0.2358953356742859
11,11.0,0.2350839525461197
12,12.0,0.23435169458389282
13,13.0,0.23369480669498444
14,14.0,0.23310941457748413
15,15.0,0.23259104788303375
16,16.0,0.2321360558271408
17,17.0,0.23173856735229492
18,18.0,0.23139387369155884
19,19.0,0.23109669983386993
# <bound method Module.parameters of simple_ANN(
  (l1): Linear(in_features=6, out_features=50, bias=True)
  (l2): Linear(in_features=50, out_features=100, bias=True)
  (l3): Linear(in_features=100, out_features=20, bias=True)
  (output): Linear(in_features=20, out_features=4, bias=True)
  (act): Sigmoid()
)>/n
