,loss_dataset_1,loss_dataset_2,data_size
0,-0.0029380864,-0.0023939477,3000
1,-0.0027469236,-0.0026345483,4000
2,-0.00269127,-0.0027406896,5000
3,-0.0026894088,-0.002518935,6000
4,-0.0025736399,-0.0025762229,7000
5,-0.002578161,-0.0025585762,8000
6,-0.002486172,-0.0024664898,9000
7,-0.0024429972,-0.002630642,10000
8,-0.0024233111,-0.0025672673,11000
9,-0.002518286,-0.0026120318,12000
10,-0.0025361085,-0.0027854263,13000
11,-0.002568681,-0.0027123664,14000
12,-0.0026030159,-0.002718212,15000
13,-0.0026673973,-0.0027461771,16000
14,-0.0027005922,-0.0027571386,17000
15,-0.0026545927,-0.002746769,18000
16,-0.0025986687,-0.0027541735,19000
17,-0.0026152208,-0.0027842913,20000
18,-0.0025943308,-0.0027803725,21000
19,-0.0025424927,-0.002744545,22000
20,-0.002585248,-0.0027502703,23000
21,-0.0025849277,-0.0026788537,24000
22,-0.002608166,-0.0026609374,25000
23,-0.0026107084,-0.002639463,26000
24,-0.0026079174,-0.0026139577,27000
25,-0.002647142,-0.0025855617,28000
26,-0.0026572824,-0.0025500196,29000
27,-0.00265168,-0.0025339888,30000
28,-0.0026829836,-0.0024814322,31000
29,-0.0026648825,-0.002481728,32000
30,-0.0026686338,-0.0024657694,33000
31,-0.0026710965,-0.0024507034,34000
32,-0.002656439,-0.0024872383,35000
33,-0.0026377782,-0.0025280595,36000
34,-0.0026346368,-0.0025644316,37000
35,-0.0026637062,-0.0025386305,38000
36,-0.0026657127,-0.0025370696,39000
