,epoch,loss
0,0.0,0.18943293392658234
1,1.0,0.18237967789173126
2,2.0,0.175773024559021
3,3.0,0.1696217954158783
4,4.0,0.16392885148525238
5,5.0,0.15869010984897614
6,6.0,0.15389332175254822
7,7.0,0.14952081441879272
8,8.0,0.14555059373378754
9,9.0,0.14195466041564941
10,10.0,0.13870550692081451
11,11.0,0.1357734054327011
12,12.0,0.13312649726867676
13,13.0,0.13073337078094482
14,14.0,0.12856680154800415
15,15.0,0.12660078704357147
16,16.0,0.1248113289475441
17,17.0,0.12317627668380737
18,18.0,0.12167762964963913
19,19.0,0.12030237913131714
# <bound method Module.parameters of simple_ANN(
  (l1): Linear(in_features=10, out_features=50, bias=True)
  (l2): Linear(in_features=50, out_features=100, bias=True)
  (l3): Linear(in_features=100, out_features=20, bias=True)
  (output): Linear(in_features=20, out_features=6, bias=True)
  (act): Sigmoid()
)>/n
