,loss_dataset_1,loss_dataset_2,data_size
0,-0.0045131543,-0.0044435416,3000
1,-0.0046995743,-0.0045290133,4000
2,-0.0044535636,-0.0043816688,5000
3,-0.004366157,-0.0042518363,6000
4,-0.004356256,-0.004488963,7000
5,-0.004301274,-0.00483034,8000
6,-0.0043535517,-0.0047233347,9000
7,-0.004373493,-0.0047640395,10000
8,-0.004267993,-0.0046955273,11000
9,-0.00429523,-0.0046026562,12000
10,-0.004300797,-0.0044972417,13000
11,-0.004311841,-0.0044692275,14000
12,-0.0042584734,-0.004411356,15000
13,-0.0042564017,-0.0044360072,16000
14,-0.0042396504,-0.0043585054,17000
15,-0.0042394972,-0.004354792,18000
16,-0.004237674,-0.0043355147,19000
17,-0.004208339,-0.004277094,20000
18,-0.00425319,-0.0042584636,21000
19,-0.004251676,-0.004214293,22000
20,-0.0042772307,-0.0042594564,23000
21,-0.0042319433,-0.0042407936,24000
22,-0.004273525,-0.004181335,25000
23,-0.0042773364,-0.004126691,26000
24,-0.0042496487,-0.0041217594,27000
25,-0.004265767,-0.004203004,28000
26,-0.0042894883,-0.004188765,29000
27,-0.004259866,-0.0042149317,30000
28,-0.00427865,-0.0042272,31000
29,-0.004236844,-0.004184514,32000
30,-0.004261702,-0.0041633067,33000
31,-0.004244682,-0.0041244845,34000
32,-0.0042451345,-0.0041287295,35000
33,-0.004257943,-0.004136833,36000
34,-0.0042502917,-0.0041559534,37000
35,-0.00424985,-0.004127454,38000
36,-0.0042333966,-0.004141644,39000
