,epoch,loss
0,1.0,0.12390204519033432
1,2.0,0.11065856367349625
2,3.0,0.10246019810438156
3,4.0,0.09727679938077927
4,5.0,0.09414931386709213
5,6.0,0.09249354153871536
6,7.0,0.09169929474592209
7,8.0,0.09131060540676117
8,9.0,0.09110502898693085
9,10.0,0.09099811315536499
10,11.0,0.09094943851232529
11,12.0,0.09093310683965683
12,13.0,0.09093419462442398
13,14.0,0.0909445658326149
14,15.0,0.0909593254327774
15,16.0,0.09097554534673691
16,17.0,0.09099166840314865
17,18.0,0.09100688993930817
18,19.0,0.09102083742618561
19,20.0,0.09103335440158844
20,21.0,0.09104444831609726
21,22.0,0.09105417132377625
22,23.0,0.09106264263391495
23,24.0,0.09106998890638351
24,25.0,0.0910763069987297
25,26.0,0.09108173102140427
26,27.0,0.09108636528253555
27,28.0,0.09109031409025192
28,29.0,0.09109365940093994
# <bound method Module.parameters of simple_ANN(   (l1): Linear(in_features=14, out_features=50, bias=True)   (l2): Linear(in_features=50, out_features=100, bias=True)   (l3): Linear(in_features=100, out_features=20, bias=True)   (output): Linear(in_features=20, out_features=8, bias=True)   (act): Sigmoid() )>\n
