,T,P,Zs,zs
0,148.73547714831565,790531.9236728441,,[1.0]
1,974.3192170765383,789721.6931671699,,[1.0]
2,303.4024282553423,484631.58651943546,,[1.0]
3,333.43828703385105,716903.7684659946,,[1.0]
4,617.9937041943804,589624.9684693357,,[0.9999999999999999]
5,116.24951629445128,542570.4849906714,,[1.0]
6,341.915379332303,255793.1652783205,,[1.0]
7,728.490859662032,141855.25502447007,,[1.0]
8,764.9600460106554,390631.7920603273,,[0.9999999999999999]
9,985.6961827166118,613517.8021594023,,[1.0]
10,934.2010226686084,289179.9211683991,,[1.0]
11,392.5235324989639,316391.1828060015,,[1.0]
12,314.4192683991414,782732.5705357115,,[0.9999999999999999]
13,406.73100181244683,923736.9230193535,,[1.0]
14,77.42585403718164,504337.9559417533,,[1.0]
15,889.0884722607091,123591.4109192466,,[1.0]
16,614.6507042772037,520569.93264963746,,[1.0]
17,984.3565678283891,951161.3570715263,,[1.0]
18,896.7939179486422,378674.8122063487,,[0.9999999999999999]
19,760.0243281793008,261879.12093026974,,[1.0]
20,950.1314371406886,811549.2545316486,,[0.9999999999999999]
21,430.2214937391371,105784.12139581432,,[1.0]
22,687.3331898819847,573956.0562827527,,[1.0]
23,629.5502324001404,270629.4249307734,,[1.0]
24,45.23754392596464,215874.5300792483,,[1.0]
25,455.9455605587625,412053.90272163093,,[1.0]
26,954.2654028962463,579786.7127324522,,[1.0]
27,73.27822704966377,650630.6317554063,,[1.0]
28,367.40900430972016,588035.5591337242,,[1.0]
29,420.79875551656244,185320.25367994932,,[1.0]
30,836.7485248352867,668512.0638800648,,[1.0]
31,191.55287092453543,739923.2320997543,,[1.0]
32,240.63693554246768,925889.8437538266,,[1.0]
33,778.2369613695663,868320.9525286898,,[1.0]
34,341.4343288085409,107116.24380700094,,[1.0]
35,940.7696017838725,577836.8620807296,,[1.0]
36,81.11699010516966,279514.33515692735,,[1.0]
37,929.5803574736798,522338.8014360394,,[0.9999999999999999]
38,144.55064495395513,895751.962012067,,[1.0]
39,554.8307167574402,799218.3923707908,,[1.0]
40,692.4590989665683,300430.12210163125,,[1.0]
41,121.12294464750948,729682.0435385461,,[1.0]
42,884.4854052550081,609402.3137406565,,[1.0]
43,632.7221538020583,591779.5835269645,,[1.0]
44,181.55977629696787,978353.2370760741,,[1.0]
45,985.9382479886831,377798.64973737585,,[1.0]
46,892.4793319294954,379142.15663438436,,[0.9999999999999999]
47,13.984497616865394,674425.1918877357,,[1.0]
48,662.1122287338039,798321.0993147469,,[0.9999999999999999]
49,330.75036566391793,567362.4908584188,,[1.0]
50,302.712973700464,489423.19230400724,,[1.0]
51,77.29399974866799,100739.64320140818,,[1.0]
52,867.6866262077259,562827.9434916009,,[1.0]
53,772.778279889321,471355.9977947767,,[1.0]
54,992.8444748959246,606860.6902540005,,[1.0]
55,494.4255039790206,707767.1860170796,,[1.0]
56,153.10246722060887,580312.2134746717,,[1.0]
57,712.1769406097178,237075.89317642283,,[1.0]
58,157.1994338850382,891955.9544652718,,[1.0]
59,337.22623406799914,854932.1813074062,,[1.0]
60,669.6197144804665,474055.3043996146,,[1.0]
61,437.83204393728425,798109.3921249162,,[1.0]
62,948.6222433141687,701377.9428695326,,[1.0]
63,604.2257874664465,929430.8049274031,,[1.0]
64,956.8957920928416,366669.1794115839,,[1.0]
65,934.3157407387683,948831.2567316332,,[0.9999999999999999]
66,913.8527490593694,255370.0367357969,,[0.9999999999999999]
67,839.3141466076048,865746.1102109419,,[0.9999999999999999]
68,681.5416900361072,312397.1593665469,,[1.0]
69,798.9999853187599,991683.8451420558,,[1.0]
70,150.5048427487811,800055.0874457881,,[1.0]
71,792.9111212701532,262510.3260957905,,[1.0]
72,230.79315693558806,202193.38314586936,,[1.0]
73,934.4402676321,905879.6771182951,,[1.0]
74,826.1014706795646,198419.0511427793,,[1.0]
75,636.4476587166226,242137.75898042013,,[1.0]
76,907.9500290135974,135839.1091595222,,[0.9999999999999999]
77,471.38199165330724,191963.9905964748,,[1.0]
78,191.60381304303522,499610.08140836726,,[1.0]
79,236.07368771755216,129883.16884410771,,[1.0]
80,413.2786402804234,577256.5245669985,,[1.0]
81,532.0289113230083,883217.3936694362,,[1.0]
82,613.4645704852836,354893.7145179838,,[1.0]
83,162.87761896530506,789034.8981293839,,[1.0]
84,705.3060577261675,964706.6210107219,,[1.0]
85,940.8784562125146,957147.8997268007,,[1.0]
86,532.2899705141724,670165.7489736296,,[1.0]
87,73.22836837245791,990707.4765766225,,[0.9999999999999999]
88,336.3546848565274,474064.01397383213,,[1.0]
89,543.2648837335839,993229.5732662048,,[1.0]
90,199.55042068035053,772183.1796633439,,[1.0]
91,642.860984976057,639662.9564229505,,[1.0]
92,386.061289779898,418024.7320221483,,[1.0]
93,54.16504385588653,626969.8692920243,,[1.0]
94,205.44473954768,775326.3284609708,,[1.0]
95,316.59518401979426,227102.15411770012,,[1.0]
96,431.0310354268053,959663.9367635594,,[1.0]
97,664.3899406571776,337373.42675466364,,[1.0]
98,925.2168978164242,283565.34162949433,,[1.0]
99,580.5433960102174,373680.3931731651,,[1.0]
100,228.65381831434036,955730.5941801717,,[1.0]
101,154.90360913105113,649202.785872244,,[1.0]
102,885.7260059596894,967040.6680277677,,[1.0]
103,62.356695741273,652381.6083690245,,[1.0]
104,884.1940791442961,236953.6235187036,,[1.0]
105,710.8999646242765,289192.3664744346,,[1.0]
106,858.0946873606734,753836.1053182939,,[1.0]
107,804.4514489041298,598890.4423634174,,[1.0]
108,586.1926170913382,945306.2354556276,,[1.0]
109,950.8699196776853,777485.7671578401,,[1.0]
110,90.82916104383918,659708.614020426,,[1.0]
111,766.9169269260829,370318.1716476564,,[1.0]
112,370.94064105778955,305452.8939051323,,[1.0]
113,859.922451920986,337113.6580781973,,[1.0]
114,204.06797512360737,412242.6328543784,,[1.0]
115,445.73302517108533,458333.2996993693,,[1.0]
116,524.7651136150702,759161.3978128316,,[1.0]
117,455.9547302172039,851558.9373930334,,[1.0]
118,420.1811554807471,518375.80134404596,,[1.0]
119,787.5557470120063,993460.4876842796,,[1.0]
120,231.5894848897176,383289.7010236152,,[1.0]
121,613.5233631410812,799586.242330292,,[1.0]
122,418.19878440104407,545473.9755530118,,[1.0]
123,636.59889641233,249754.9568577382,,[1.0]
124,744.9631755744758,345976.78651561064,,[1.0]
125,830.3734425550224,363355.73719741177,,[0.9999999999999999]
126,115.09777055699875,262160.60072459787,,[1.0]
127,226.48022283849207,143013.34210940872,,[1.0]
128,813.638442623736,380024.0036122461,,[1.0]
129,837.727839254776,275834.83203540475,,[1.0]
130,597.8453154999072,356345.6856200639,,[1.0]
131,176.15375362412829,562804.2177094284,,[1.0]
132,740.0958816656696,561777.2820953424,,[1.0]
133,112.76880786686479,491286.4176369698,,[0.9999999999999999]
134,660.0249457636087,759620.1871651486,,[0.9999999999999999]
135,594.1460003528283,479589.9861752714,,[1.0]
136,654.9452147245089,705271.4826612986,,[1.0]
137,423.4626430912404,696166.9159008779,,[1.0]
138,992.9771900557686,312494.1476040939,,[1.0]
139,303.1376231376436,335443.36263839924,,[1.0]
140,412.59865632530483,844951.0270048849,,[1.0]
141,707.4695814533067,479739.1874287042,,[1.0]
142,588.3925511672344,153385.75395775895,,[1.0]
143,366.98999243899056,741660.7903595014,,[0.9999999999999999]
144,557.2029722952839,923484.9359215848,,[1.0]
145,839.7502661514728,939575.2234302489,,[1.0]
146,188.72282286546482,763350.8011651306,,[1.0]
147,22.696511363416093,275274.538700007,,[1.0]
148,536.8384150890704,560838.0037189273,,[1.0]
149,808.9112028305252,118301.57796250314,,[1.0]
150,165.75124652026273,814709.4013463497,,[0.9999999999999999]
151,403.81686519934556,722189.1802827795,,[1.0]
152,40.865738677745895,171697.7099620612,,[1.0]
153,465.287074433162,723327.8268492889,,[1.0]
154,966.9103612928031,716572.0825137779,,[1.0]
155,350.3286663233587,874892.9349866132,,[1.0]
156,19.423800565833886,172499.23446258786,,[1.0]
157,103.66291095377213,209278.24858758377,,[1.0]
158,758.8572446992425,325655.7258977489,,[0.9999999999999999]
159,304.6278735543702,692282.71939575,,[1.0]
160,136.97311978939626,412729.89441067533,,[1.0]
161,134.81223904830503,640701.4291794803,,[1.0]
162,748.1805141015609,272536.0496192477,,[1.0]
163,102.18225114492986,947947.0497588586,,[1.0]
164,665.6071892804285,492368.8941906444,,[1.0]
165,545.1708124666653,121795.69318769034,,[1.0]
166,209.39695365357713,201158.27180403512,,[1.0]
167,936.7900268474704,187561.3524153144,,[1.0]
168,150.34805183151747,991097.3335781624,,[1.0]
169,329.359265153802,181437.61409105564,,[1.0]
170,672.8621519315702,984586.1829052583,,[1.0]
171,163.31916554626142,209318.1058442464,,[0.9999999999999999]
172,826.4648883450816,881316.5671896335,,[1.0]
173,943.6668412714165,671885.0341502754,,[0.9999999999999999]
174,303.93594187647477,163676.77496098078,,[1.0]
175,752.9763378007358,340749.62287824095,,[1.0]
176,707.6780992453907,155435.4319437587,,[1.0]
177,199.42640925451892,200583.5055767605,,[1.0]
178,690.2407266384566,155389.5299674071,,[0.9999999999999999]
179,632.6222093487178,672589.1514506838,,[1.0]
180,407.9871345580503,204617.87488850206,,[1.0]
181,747.7296836181349,309713.41895617323,,[1.0]
182,870.8219556478793,302146.2102040275,,[1.0]
183,197.4847497517943,123243.22607349911,,[1.0]
184,736.4682004600818,947728.7558243134,,[0.9999999999999999]
185,794.4724110291035,491165.6602354882,,[1.0]
186,83.99701349921503,121721.96608670524,,[1.0]
187,833.5236369513918,921806.3371457023,,[1.0]
188,373.3215239191288,185836.5544420965,,[1.0]
