,loss_dataset_1,loss_dataset_2,data_size
0,-0.0018085839,-0.0016944736,3000
1,-0.0018512331,-0.0016476171,4000
2,-0.001843085,-0.0016655124,5000
3,-0.0017773652,-0.0016473933,6000
4,-0.0017308666,-0.0017106603,7000
5,-0.001753504,-0.0016799386,8000
6,-0.0017514095,-0.0016482054,9000
7,-0.0017371336,-0.0016833431,10000
8,-0.001732035,-0.0016754408,11000
9,-0.0017334969,-0.0016551092,12000
10,-0.0017033737,-0.0016505885,13000
11,-0.0016968083,-0.0016665295,14000
12,-0.0017012795,-0.0016840441,15000
13,-0.0017003659,-0.0016599228,16000
14,-0.0016999589,-0.0016815638,17000
15,-0.0017060513,-0.0016787393,18000
16,-0.0016896157,-0.001696657,19000
17,-0.0016992573,-0.0016822928,20000
18,-0.0016925904,-0.0016614693,21000
19,-0.0016892828,-0.001671799,22000
20,-0.0016946372,-0.0016772618,23000
21,-0.0016995353,-0.0016780623,24000
22,-0.0016958192,-0.0016770161,25000
23,-0.0016952832,-0.001665082,26000
24,-0.0016794755,-0.0016750392,27000
25,-0.0016815463,-0.0016788989,28000
26,-0.0016785376,-0.0016693961,29000
27,-0.0016735109,-0.0016733132,30000
28,-0.0016753493,-0.00167418,31000
29,-0.001673923,-0.001682317,32000
30,-0.00166388,-0.0016755447,33000
31,-0.0016690042,-0.00169502,34000
32,-0.0016645555,-0.0016945167,35000
33,-0.0016625846,-0.0016860791,36000
34,-0.0016545082,-0.0016883243,37000
35,-0.0016596391,-0.001688805,38000
36,-0.001660166,-0.0016879189,39000
