,loss_dataset_1,loss_dataset_2,data_size
0,-0.0031212145,-0.0032358642,3000
1,-0.003165435,-0.0033438578,4000
2,-0.003111929,-0.0033920235,5000
3,-0.0030839455,-0.0034186505,6000
4,-0.0030770798,-0.0034521576,7000
5,-0.0030862372,-0.003422515,8000
6,-0.003106209,-0.0034437492,9000
7,-0.0031152775,-0.0034547274,10000
8,-0.003136313,-0.0034104413,11000
9,-0.0030728797,-0.003363404,12000
10,-0.0030583758,-0.003360706,13000
11,-0.003047842,-0.0033673625,14000
12,-0.0030410974,-0.0033519063,15000
13,-0.0030275513,-0.0033342273,16000
14,-0.0030088495,-0.003349357,17000
15,-0.0029931027,-0.0033517163,18000
16,-0.002998301,-0.0033147093,19000
17,-0.0030009248,-0.0033188616,20000
18,-0.0029988887,-0.0032813132,21000
19,-0.0030136527,-0.003320499,22000
20,-0.0030003346,-0.0032948114,23000
21,-0.002997391,-0.0032689678,24000
22,-0.0030106395,-0.0032720552,25000
23,-0.0030115754,-0.0032662596,26000
24,-0.003009967,-0.0032598178,27000
25,-0.0030414069,-0.0032433732,28000
26,-0.0030486933,-0.0032276646,29000
27,-0.0030616182,-0.0032093818,30000
28,-0.0030729896,-0.0032101881,31000
29,-0.003080055,-0.0032077383,32000
30,-0.0030621253,-0.0032114002,33000
31,-0.0030700776,-0.0031949866,34000
32,-0.0030685496,-0.0031902338,35000
33,-0.0030618594,-0.0031744812,36000
34,-0.003065717,-0.0031850375,37000
35,-0.0030612447,-0.0031930418,38000
36,-0.0030695726,-0.0031820529,39000
