,test_time_consume(s)
0,0
1,0.001000166
2,0
3,0
4,0.001000643
5,0
6,0.000999212
7,0.000999928
8,0
9,0
10,0.001000643
11,0
12,0.000999212
13,0
14,0
15,0.000999928
16,0
17,0.000999928
18,0
19,0
20,0.001000404
21,0
22,0.000999689
23,0
24,0
25,0.000999928
26,0
27,0
28,0.001000166
29,0
30,0.000999928
31,0
32,0
33,0.001000404
34,0
35,0.001002073
36,0
37,0
38,0.000997782
39,0
40,0.001000404
41,0
42,0.000999689
43,0
44,0
45,0.000999928
46,0
47,0.000999928
48,0.00100112
49,0
50,0
51,0.000999212
52,0
53,0.001000643
54,0
55,0
56,0.000999689
57,0
58,0.000999689
59,0
60,0.000999928
61,0
62,0.000999928
63,0
64,0
65,0.000999928
66,0
67,0.001000404
68,0
69,0.000999689
70,0
71,0
72,0.000999451
73,0
74,0
75,0.000999928
76,0
77,0.001000881
78,0
79,0
80,0.000998974
81,0
82,0.000999928
83,0
84,0
85,0.00100112
86,0
87,0.001000166
88,0
89,0.000999451
90,0
91,0
92,0.000999928
93,0
94,0.000999928
95,0
96,0
97,0.001001358
98,0
99,0.000999451
100,0.001028061
101,0.00096941
102,0
103,0.000999928
104,0.000999928
105,0
106,0.000999689
107,0
108,0.001000404
109,0.000999689
110,0
111,0.000999928
112,0
113,0.001000404
114,0.000998974
115,0.001000166
116,0.001000166
117,0
118,0.001002073
119,0
120,0.000998974
121,0.001000643
122,0
123,0.000999451
124,0
125,0.001000404
126,0.000999451
127,0
128,0.001000166
129,0
130,0.001000166
131,0.000999928
132,0
133,0.001000404
134,0.000999689
135,0
136,0.000999928
137,0.001000404
138,0
139,0.001000643
140,0.000997066
141,0.00100255
142,0.001000643
143,0
144,0.000999212
145,0.000999928
146,0.000997782
147,0
148,0.000999928
149,0.001002789
150,0
151,0.001027346
152,0.000972509
153,0
154,0.001000643
155,0.001024485
156,0
157,0.000974894
158,0.001024485
159,0.000974655
160,0
161,0.001000166
162,0.00102663
163,0
164,0.000974417
165,0.000999451
166,0.000999451
167,0
168,0.001000404
169,0
170,0.000999451
171,0.00100112
172,0
173,0.001000643
174,0
175,0.000999928
176,0.000998974
177,0.000999451
178,0
179,0.001000166
180,0.000998735
181,0.000999451
182,0
183,0.000999928
184,0
185,0.001000404
186,0
187,0.000999212
188,0.001001358
189,0.000999212
190,0
191,0.000999451
192,0
193,0.001000166
194,0
195,0.001004696
196,0.000997782
197,0
198,0.000999212
199,0
200,0.001000643
201,0.001000404
202,0.001000166
# cuda,
