<<<<<<< HEAD
,target,args
0,-0.33162402734160423,0.05
1,-0.39245302975177765,0.07500000000000001
2,-0.39413907751441,0.1
3,-0.31588829681277275,0.125
4,-0.3533181697130203,0.15000000000000002
=======
,target,params
0,-0.29440465189848736,0.05
1,-0.2812085707855832,0.07500000000000001
2,-0.27960480797063014,0.1
3,-0.28339675828150124,0.125
4,-0.2781272450829767,0.15000000000000002
5,-0.27671005031105816,0.175
6,-0.2772426119275913,0.2
7,-0.2821793791594779,0.22500000000000003
8,-0.27624693664775535,0.25
9,-0.2768302821809319,0.275
10,-0.2839758739729596,0.3
11,-0.27528819603145505,0.325
12,-0.27822850986271147,0.35000000000000003
13,-0.2758918097064753,0.375
14,-0.27543725405529046,0.4
15,-0.27705471701682755,0.425
16,-0.2779158222827183,0.45
17,-0.2747359473234529,0.47500000000000003
18,-0.2738745096762469,0.5
19,-0.3865975794518829,0.5
20,-0.25018048419314587,5.7368421052631575
21,-0.3415269779551561,10.973684210526315
22,-0.2458649033763606,16.210526315789473
23,-0.2655366871766983,21.44736842105263
24,-0.2445333850611547,26.684210526315788
25,-0.2458918559703098,31.921052631578945
26,-0.2404387839091052,37.1578947368421
27,-0.301542244329574,42.39473684210526
28,-0.24134676870267102,47.63157894736842
29,-0.24203691436986255,52.868421052631575
30,-0.24065884729479528,58.10526315789473
31,-0.2578981019509066,63.34210526315789
32,-0.24035631936446877,68.57894736842104
33,-0.24817861379331843,73.8157894736842
34,-0.31615896760278445,79.05263157894737
35,-0.24090093734917367,84.28947368421052
36,-0.24544600145831988,89.52631578947367
37,-0.2404343937612643,94.76315789473684
38,-0.24026681720071538,100.0
>>>>>>> 5b2ecdf5c05e47904fae30ede70de9d0368cea5f
