<<<<<<< HEAD
,target,args
0,-0.3387909010052681,0.05
1,-0.2970880717039108,0.07500000000000001
2,-0.34432149305939674,0.1
3,-0.3287476468831301,0.125
4,-0.3337623104453087,0.15000000000000002
=======
,target,params
0,-0.26597073636237223,0.05
1,-0.5385610928201372,0.07500000000000001
2,-0.2637893515787307,0.1
3,-0.2788623813421104,0.125
4,-0.2690335416300282,0.15000000000000002
5,-0.26788982692038177,0.175
6,-0.26484871992639675,0.2
7,-0.26351205169395275,0.22500000000000003
8,-0.26532162792363745,0.25
9,-0.2742923245688153,0.275
10,-0.26575946940737927,0.3
11,-0.2619255703345985,0.325
12,-0.27450558647608303,0.35000000000000003
13,-0.2622605872571848,0.375
14,-0.2635416081946367,0.4
15,-0.29235225403384796,0.425
16,-0.2660147158583258,0.45
17,-0.2627288937378841,0.47500000000000003
18,-0.2723854928259637,0.5
19,-0.6337709320578605,0.5
20,-0.24068875895563963,5.7368421052631575
21,-0.23450853955593837,10.973684210526315
22,-0.25409684202093985,16.210526315789473
23,-0.23466978625507112,21.44736842105263
24,-0.2627715920187106,26.684210526315788
25,-0.5099563304406063,31.921052631578945
26,-0.23036266047104148,37.1578947368421
27,-0.2917981459076997,42.39473684210526
28,-0.2331606579624164,47.63157894736842
29,-0.23357694515377092,52.868421052631575
30,-0.23142441366888156,58.10526315789473
31,-0.23435028931897156,63.34210526315789
32,-0.23062071023852962,68.57894736842104
33,-0.22985096323262355,73.8157894736842
34,-0.2304407870693571,79.05263157894737
35,-0.29431233436438686,84.28947368421052
36,-0.28555358841920353,89.52631578947367
37,-0.23051143556263795,94.76315789473684
38,-0.23253129432155828,100.0
>>>>>>> 5b2ecdf5c05e47904fae30ede70de9d0368cea5f
