,loss_dataset_1,loss_dataset_2,data_size
0,-0.00206643,-0.002423375,3000
1,-0.0021471183,-0.0025705793,4000
2,-0.0021443185,-0.0024727762,5000
3,-0.0021911636,-0.00243594,6000
4,-0.002234882,-0.0024243176,7000
5,-0.0022208598,-0.002492537,8000
6,-0.0022130904,-0.0026487212,9000
7,-0.0022527336,-0.0025932835,10000
8,-0.0022786185,-0.0025711397,11000
9,-0.0022689898,-0.0025504443,12000
10,-0.002240022,-0.0025707379,13000
11,-0.002241985,-0.0025586204,14000
12,-0.0022127072,-0.0025611173,15000
13,-0.0022069651,-0.0025300689,16000
14,-0.0022036966,-0.0025440352,17000
15,-0.0021899892,-0.0025329872,18000
16,-0.0022141526,-0.002558713,19000
17,-0.0022187869,-0.0025574483,20000
18,-0.0022112776,-0.002568743,21000
19,-0.0022362394,-0.0025527782,22000
20,-0.0022445011,-0.00255065,23000
21,-0.0022379968,-0.0025624256,24000
22,-0.002246041,-0.0025604086,25000
23,-0.0022541927,-0.0025985169,26000
24,-0.0022669085,-0.0025883846,27000
25,-0.0022751384,-0.0025798536,28000
26,-0.0022731086,-0.0025910656,29000
27,-0.0022810576,-0.0025946628,30000
28,-0.0022831275,-0.0025751523,31000
29,-0.0022753803,-0.0025686666,32000
30,-0.0022711242,-0.0025494157,33000
31,-0.0022687688,-0.002528662,34000
32,-0.002282684,-0.002521606,35000
33,-0.0022889806,-0.0025147055,36000
34,-0.0022894295,-0.0025178187,37000
35,-0.0023021412,-0.0025139265,38000
36,-0.0023024015,-0.0025061856,39000
