,loss_dataset_1,loss_dataset_2,data_size
0,-0.002389429,-0.0027452572,3000
1,-0.0023881074,-0.0028869815,4000
2,-0.002454811,-0.0028624064,5000
3,-0.0024761653,-0.0029057479,6000
4,-0.002464896,-0.0028396288,7000
5,-0.0024845405,-0.0028228296,8000
6,-0.0024919275,-0.0028607554,9000
7,-0.0024796107,-0.0028408975,10000
8,-0.002467159,-0.0027659598,11000
9,-0.0024592765,-0.0027338897,12000
10,-0.002483848,-0.0026815275,13000
11,-0.0024295575,-0.0026894377,14000
12,-0.002444442,-0.002650679,15000
13,-0.0024342374,-0.0026589495,16000
14,-0.0024333987,-0.0026503836,17000
15,-0.0024209837,-0.0026258752,18000
16,-0.0024378756,-0.0026148153,19000
17,-0.0024270075,-0.002633418,20000
18,-0.0024032032,-0.0026103735,21000
19,-0.002402778,-0.0026185014,22000
20,-0.0024139495,-0.0026309963,23000
21,-0.0024158652,-0.0026245795,24000
22,-0.002414595,-0.0026154944,25000
23,-0.0024308295,-0.0026074864,26000
24,-0.002439632,-0.002610549,27000
25,-0.0024472694,-0.0026480667,28000
26,-0.0024545947,-0.0026577201,29000
27,-0.002461228,-0.0026434292,30000
28,-0.0024714642,-0.0026340596,31000
29,-0.0024752226,-0.0026581476,32000
30,-0.0024734493,-0.0026882282,33000
31,-0.002465123,-0.0026758926,34000
32,-0.0024608534,-0.0026801443,35000
33,-0.0024517826,-0.0026809622,36000
34,-0.0024580832,-0.0026759258,37000
35,-0.0024722363,-0.0026735205,38000
36,-0.0024782822,-0.00264708,39000
