,loss_dataset_1,loss_dataset_2,data_size
0,-0.002856723,-0.0030635996,3000
1,-0.002820437,-0.0031841588,4000
2,-0.0029244141,-0.0029729414,5000
3,-0.0029370803,-0.0030103025,6000
4,-0.0029557906,-0.0030441734,7000
5,-0.002989504,-0.003100817,8000
6,-0.0029192287,-0.0029943483,9000
7,-0.0029953597,-0.0028741204,10000
8,-0.0030034997,-0.0029036934,11000
9,-0.0030092224,-0.002855129,12000
10,-0.003019102,-0.0028209977,13000
11,-0.003021319,-0.0028671906,14000
12,-0.0029884423,-0.002879716,15000
13,-0.002951242,-0.002820489,16000
14,-0.00290193,-0.0028646179,17000
15,-0.0028949943,-0.00285054,18000
16,-0.0028902476,-0.0027952662,19000
17,-0.002902695,-0.00284822,20000
18,-0.0028937326,-0.0028312316,21000
19,-0.0028711455,-0.0028382016,22000
20,-0.0028596367,-0.0028696149,23000
21,-0.0028835777,-0.0028668756,24000
22,-0.002866589,-0.0028852993,25000
23,-0.002868131,-0.0029053248,26000
24,-0.002848971,-0.002862588,27000
25,-0.0028340681,-0.0029087276,28000
26,-0.0028390433,-0.002943636,29000
27,-0.0028412044,-0.0029774709,30000
28,-0.002840431,-0.0029734587,31000
29,-0.0028458475,-0.0030017658,32000
30,-0.002854824,-0.0029873578,33000
31,-0.0028378947,-0.0030175277,34000
32,-0.002830036,-0.003002475,35000
33,-0.0028286616,-0.0029764527,36000
34,-0.002832491,-0.0029682633,37000
35,-0.0028289768,-0.002961042,38000
36,-0.0028289335,-0.0029524332,39000
