,loss_dataset_1,loss_dataset_2,data_size
0,-0.0034387487,-0.0035043168,3000
1,-0.003503116,-0.0036319867,4000
2,-0.0034677796,-0.0034935148,5000
3,-0.003523115,-0.0037480255,6000
4,-0.003529715,-0.0038638804,7000
5,-0.0034614215,-0.0039249267,8000
6,-0.0033803084,-0.0037634186,9000
7,-0.0033720867,-0.0037380266,10000
8,-0.0033171875,-0.0037146956,11000
9,-0.00332812,-0.0037078524,12000
10,-0.003280908,-0.0037083002,13000
11,-0.003292607,-0.0036873766,14000
12,-0.0032852555,-0.0036409148,15000
13,-0.0032504043,-0.0035829018,16000
14,-0.0032595773,-0.00359301,17000
15,-0.003251049,-0.0035982924,18000
16,-0.0032613855,-0.003547587,19000
17,-0.003246049,-0.0035200056,20000
18,-0.0032733195,-0.0035231642,21000
19,-0.003278104,-0.0034853918,22000
20,-0.0032638821,-0.0034964914,23000
21,-0.0032775747,-0.0034767229,24000
22,-0.0032752564,-0.0035266215,25000
23,-0.0032654884,-0.0034865937,26000
24,-0.0032343448,-0.0034572748,27000
25,-0.0032417676,-0.003484326,28000
26,-0.0032318202,-0.0034772982,29000
27,-0.003256577,-0.0034381642,30000
28,-0.0032449504,-0.0034423913,31000
29,-0.003240014,-0.0034300121,32000
30,-0.0032448662,-0.0034819886,33000
31,-0.0032338498,-0.0034857416,34000
32,-0.00321677,-0.0034952702,35000
33,-0.0032364521,-0.003497595,36000
34,-0.003250676,-0.0035183926,37000
35,-0.0032336526,-0.003520237,38000
36,-0.0032230993,-0.0035215612,39000
