,loss_dataset_1,loss_dataset_2,data_size
0,-0.0032475372,-0.003228248,3000
1,-0.0033486406,-0.0032180336,4000
2,-0.0032007392,-0.0032286972,5000
3,-0.0032016435,-0.0033071518,6000
4,-0.0031611833,-0.0033995574,7000
5,-0.0031626693,-0.003403423,8000
6,-0.0031733098,-0.0033335558,9000
7,-0.0031477178,-0.003269539,10000
8,-0.0031420456,-0.0033037565,11000
9,-0.0031297705,-0.0033368485,12000
10,-0.0031468396,-0.0033874372,13000
11,-0.003141177,-0.0034129766,14000
12,-0.0030981377,-0.003374508,15000
13,-0.0031347484,-0.0034187622,16000
14,-0.00315309,-0.0034482589,17000
15,-0.0031495409,-0.003424156,18000
16,-0.0031390681,-0.0034283018,19000
17,-0.003136596,-0.0034232782,20000
18,-0.003088836,-0.00338889,21000
19,-0.003117519,-0.003404994,22000
20,-0.003108701,-0.0033901478,23000
21,-0.003137466,-0.0033817424,24000
22,-0.0031192629,-0.0033376724,25000
23,-0.0030894703,-0.0033300817,26000
24,-0.0030834035,-0.003329318,27000
25,-0.0030924326,-0.00332836,28000
26,-0.003091055,-0.003323224,29000
27,-0.0031042066,-0.0033336692,30000
28,-0.0031180966,-0.0033294235,31000
29,-0.003125808,-0.0033105658,32000
30,-0.0031151716,-0.003285814,33000
31,-0.003103319,-0.0033163077,34000
32,-0.003106295,-0.0033234707,35000
33,-0.003097007,-0.0033169664,36000
34,-0.0031116796,-0.0033289818,37000
35,-0.0031055603,-0.0033327674,38000
36,-0.00310555,-0.0033269064,39000
