,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,58.99491127332052,0.347165530173061,0.8415477275848389,0.04518873830929738,0.6,0.01,3,300,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.2}",-0.006098856218159199,-0.006105858366936445,-0.005991979502141476,-0.0060655646957457066,5.211105487452593e-05,80,-0.006010598037391901,-0.005972122307866812,-0.005894070956856012,-0.005958930434038241,4.8477893765344595e-05
1,95.48481464385986,0.3279535661808293,0.9094911416371664,0.08771717394483779,0.6,0.01,3,300,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.6}",-0.0060663893818855286,-0.006074140779674053,-0.005962442606687546,-0.0060343242560823756,5.0926415422711896e-05,79,-0.00594038050621748,-0.005905397702008486,-0.005823100917041302,-0.005889626375089089,4.91608012813199e-05
2,91.93963487943013,0.4722649687145582,0.8655516306559244,0.10774298251172248,0.6,0.01,3,300,10,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 1.0}",-0.0061669559217989445,-0.006163814105093479,-0.0061602285131812096,-0.006163666180024545,2.748444171649116e-06,81,-0.006024245172739029,-0.005967386998236179,-0.005986236967146397,-0.005992623046040535,2.364740302416233e-05
3,78.96410528818767,0.41317640758172575,1.1270434856414795,0.0662280022280574,0.6,0.01,3,400,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'reg_lambda': 10, 'subsample': 0.2}",-0.004438948817551136,-0.004441314842551947,-0.004370554815977812,-0.004416939492026965,3.281313911341783e-05,74,-0.004337412770837545,-0.004301332402974367,-0.004265347961336374,-0.004301364378382762,2.9420343969551375e-05
4,134.41517996788025,8.652991779468332,1.2180033524831135,0.12480391853650181,0.6,0.01,3,400,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'reg_lambda': 10, 'subsample': 0.6}",-0.004435782320797443,-0.004439956042915583,-0.004361351020634174,-0.004412363128115733,3.6111229291015706e-05,73,-0.0042922524735331535,-0.004260407295078039,-0.004214118234813213,-0.004255592667808135,3.2079331787484045e-05
5,139.1668521563212,5.930451433250659,1.41653839747111,0.3780984837929297,0.6,0.01,3,400,10,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'reg_lambda': 10, 'subsample': 1.0}",-0.00454855989664793,-0.004535295069217682,-0.004534823354333639,-0.004539559440066417,6.3671968054884525e-06,75,-0.004386247135698795,-0.004330097697675228,-0.004352760501205921,-0.0043563684448599815,2.3064442917598788e-05
6,106.42365248998006,2.7708861760217696,2.0229291121164956,0.23451411908321312,0.6,0.01,3,500,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 10, 'subsample': 0.2}",-0.003762764623388648,-0.0037612332962453365,-0.003720420878380537,-0.003748139599338174,1.961006305192077e-05,68,-0.0036520783323794603,-0.0036116449628025293,-0.0036085122264921665,-0.0036240785072247186,1.9840130472011216e-05
7,173.0828206539154,3.0223298111434342,1.4845685958862305,0.2562530378758082,0.6,0.01,3,500,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 10, 'subsample': 0.6}",-0.0037537298630923033,-0.003757359692826867,-0.003713086247444153,-0.003741391934454441,2.00699253248699e-05,67,-0.0036023834254592657,-0.003566822735592723,-0.003558355150744319,-0.003575853770598769,1.9075148554319395e-05
8,167.18305667241415,1.0188133505826231,1.6463217735290527,0.035325693341645294,0.6,0.01,3,500,10,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 10, 'subsample': 1.0}",-0.003834090894088149,-0.0038210111670196056,-0.0038133657071739435,-0.0038228225894272327,8.557424905165861e-06,69,-0.0036566604394465685,-0.0036030816845595837,-0.0036227256059646606,-0.003627489243323604,2.21312738671703e-05
9,100.59767317771912,0.2769556665456668,2.167522350947062,0.08962154245726134,0.6,0.01,5,300,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.2}",-0.0047354609705507755,-0.004753671120852232,-0.004645365756005049,-0.004711499282469352,4.7350711965460036e-05,78,-0.004529786761850119,-0.004520453047007322,-0.00442125229164958,-0.004490497366835673,4.911170862660947e-05
10,164.17995063463846,2.637071582830868,2.4315334955851235,0.3171824044809467,0.6,0.01,5,300,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.6}",-0.0045659104362130165,-0.0045760017819702625,-0.004492135252803564,-0.004544682490328948,3.738420293350197e-05,76,-0.004272654186934233,-0.004258378408849239,-0.004181410651654005,-0.004237481082479159,4.0073843253605195e-05
