,test_time_consume(s)
0,0.7053720951080322
1,0.007993698120117188
2,0.009999513626098633
3,0.01000523567199707
4,0.00899648666381836
5,0.0169985294342041
6,0.008970975875854492
7,0.007999658584594727
8,0.007999897003173828
9,0.010000228881835938
10,0.018998384475708008
11,0.006999969482421875
12,0.011000633239746094
13,0.010024547576904297
14,0.009006500244140625
15,0.01996922492980957
16,0.007999897003173828
17,0.010000467300415039
18,0.02002882957458496
19,0.010971307754516602
20,0.008000373840332031
21,0.011999130249023438
22,0.00800013542175293
23,0.008000373840332031
24,0.014999628067016602
25,0.012001752853393555
26,0.014997720718383789
27,0.012000083923339844
28,0.007999658584594727
29,0.023000478744506836
30,0.009999513626098633
31,0.030000925064086914
32,0.007999658584594727
33,0.00800013542175293
34,0.01902461051940918
35,0.007976293563842773
36,0.007999897003173828
37,0.01602482795715332
38,0.007999420166015625
39,0.010004997253417969
40,0.012000083923339844
41,0.00800943374633789
42,0.01099538803100586
43,0.011996984481811523
44,0.008995771408081055
45,0.010001897811889648
46,0.011002302169799805
47,0.008967161178588867
48,0.019000530242919922
49,0.008072853088378906
50,0.008997440338134766
51,0.014003515243530273
52,0.010001897811889648
53,0.013995170593261719
54,0.007999420166015625
55,0.014990806579589844
56,0.014005184173583984
57,0.008002996444702148
58,0.011001110076904297
59,0.009000539779663086
60,0.008971214294433594
61,0.013028621673583984
62,0.007969856262207031
63,0.007999897003173828
64,0.01399993896484375
65,0.009999275207519531
66,0.011000871658325195
67,0.01100015640258789
68,0.007999897003173828
69,0.018000364303588867
70,0.008999824523925781
71,0.009000301361083984
72,0.022001028060913086
73,0.009000062942504883
74,0.006999492645263672
75,0.016000032424926758
76,0.012001276016235352
77,0.01299905776977539
78,0.008998632431030273
79,0.007999181747436523
80,0.01600027084350586
81,0.009000539779663086
82,0.008999824523925781
83,0.014999866485595703
84,0.00800013542175293
85,0.009999990463256836
86,0.0070285797119140625
87,0.009002685546875
88,0.019968032836914062
89,0.008000373840332031
90,0.008000612258911133
91,0.00899958610534668
92,0.008002042770385742
93,0.014999866485595703
94,0.00800013542175293
95,0.018999099731445312
96,0.02103137969970703
97,0.0189669132232666
98,0.02100348472595215
99,0.023998022079467773
100,0.010997772216796875
101,0.014999628067016602
102,0.009999990463256836
103,0.012000083923339844
104,0.020001649856567383
105,0.014999151229858398
106,0.01399850845336914
107,0.009000062942504883
108,0.011000633239746094
109,0.012999534606933594
110,0.03002786636352539
111,0.009001731872558594
112,0.008004426956176758
113,0.017967700958251953
114,0.012998580932617188
115,0.03999900817871094
116,0.01500082015991211
117,0.013000249862670898
118,0.009999275207519531
119,0.02200031280517578
120,0.010026216506958008
121,0.01797318458557129
122,0.01399993896484375
123,0.009000301361083984
124,0.015999555587768555
125,0.009029388427734375
126,0.018002033233642578
127,0.011967658996582031
128,0.00803065299987793
129,0.013969898223876953
130,0.006999969482421875
131,0.015001535415649414
132,0.00800013542175293
133,0.015999794006347656
134,0.022000551223754883
135,0.0069997310638427734
136,0.013001441955566406
137,0.008999824523925781
138,0.009000778198242188
139,0.019997835159301758
140,0.008002042770385742
141,0.011998176574707031
142,0.019001245498657227
143,0.009000062942504883
144,0.014000654220581055
145,0.007997989654541016
146,0.007998943328857422
147,0.015999794006347656
148,0.0070037841796875
149,0.007999658584594727
150,0.020000219345092773
151,0.01499795913696289
152,0.009999752044677734
153,0.008002042770385742
154,0.010000228881835938
155,0.026999711990356445
156,0.008999347686767578
157,0.014000892639160156
158,0.010999917984008789
159,0.012001514434814453
160,0.01299738883972168
161,0.010999917984008789
162,0.010997533798217773
163,0.016001462936401367
164,0.011027336120605469
165,0.013971328735351562
166,0.01000070571899414
167,0.012000322341918945
168,0.022000551223754883
169,0.00999903678894043
170,0.015002012252807617
171,0.011998176574707031
172,0.009000062942504883
173,0.017999887466430664
174,0.010999679565429688
175,0.01399993896484375
176,0.013000726699829102
177,0.010001420974731445
178,0.016998291015625
179,0.010000228881835938
180,0.02200174331665039
181,0.011998653411865234
182,0.009998559951782227
183,0.018001556396484375
184,0.009998798370361328
185,0.02200007438659668
186,0.011000394821166992
187,0.007999181747436523
188,0.017000436782836914
189,0.009000062942504883
190,0.010000228881835938
191,0.012000083923339844
192,0.013001203536987305
193,0.010998725891113281
194,0.015001535415649414
195,0.00999903678894043
196,0.012000322341918945
197,0.015000104904174805
198,0.018999338150024414
199,0.013001680374145508
200,0.018000125885009766
201,0.011998414993286133
202,0.009999990463256836
203,0.01600170135498047
204,0.008998632431030273
205,0.015001296997070312
206,0.010999441146850586
207,0.009000539779663086
208,0.009999990463256836
209,0.008999109268188477
210,0.012000083923339844
211,0.007000446319580078
212,0.00899958610534668
213,0.011999845504760742
214,0.009000301361083984
215,0.0070035457611083984
216,0.008996725082397461
217,0.010000228881835938
218,0.011000633239746094
219,0.016533851623535156
220,0.009999275207519531
221,0.015000581741333008
222,0.01000070571899414
223,0.008999109268188477
224,0.018998384475708008
225,0.014002084732055664
226,0.008997678756713867
227,0.008999824523925781
228,0.008998870849609375
229,0.01300048828125
230,0.009000062942504883
231,0.015001296997070312
232,0.008999824523925781
233,0.012999296188354492
234,0.01599884033203125
235,0.011000394821166992
236,0.011000394821166992
237,0.015999555587768555
238,0.011999845504760742
239,0.011001348495483398
240,0.009999990463256836
241,0.015999555587768555
242,0.009000062942504883
243,0.009000778198242188
244,0.009001016616821289
245,0.008999824523925781
246,0.017000198364257812
247,0.008998394012451172
248,0.007999658584594727
249,0.012999773025512695
250,0.011002540588378906
251,0.007999897003173828
252,0.013999462127685547
253,0.012000560760498047
254,0.013999700546264648
255,0.008000612258911133
256,0.014999151229858398
257,0.008001327514648438
258,0.008998870849609375
259,0.01399993896484375
260,0.009000539779663086
261,0.012997627258300781
262,0.016999244689941406
263,0.010000944137573242
264,0.016001224517822266
265,0.008999824523925781
266,0.012998819351196289
267,0.010999679565429688
268,0.01000070571899414
269,0.0110015869140625
270,0.01000070571899414
271,0.010999441146850586
272,0.009000301361083984
273,0.009998798370361328
274,0.009001731872558594
275,0.009000539779663086
276,0.007999658584594727
277,0.01000070571899414
278,0.010999202728271484
279,0.011000394821166992
280,0.006999969482421875
281,0.012999773025512695
282,0.0070018768310546875
283,0.014997482299804688
284,0.009012699127197266
285,0.007999658584594727
286,0.013000726699829102
287,0.007999181747436523
288,0.011998653411865234
289,0.011999368667602539
290,0.009999990463256836
291,0.011999130249023438
292,0.013000249862670898
293,0.022999286651611328
294,0.009002208709716797
295,0.007999658584594727
296,0.016000032424926758
297,0.010998010635375977
298,0.012003421783447266
299,0.016000747680664062
300,0.00899815559387207
301,0.015002250671386719
302,0.009001016616821289
303,0.011998414993286133
304,0.019000530242919922
305,0.00899815559387207
306,0.01800227165222168
307,0.009000301361083984
308,0.009998321533203125
309,0.02399921417236328
310,0.010002613067626953
311,0.016000032424926758
312,0.007999897003173828
313,0.00800013542175293
314,0.01900005340576172
315,0.0069997310638427734
316,0.017998695373535156
317,0.007999658584594727
318,0.008999824523925781
319,0.018999099731445312
320,0.007999658584594727
321,0.00800013542175293
322,0.016029834747314453
323,0.010970830917358398
324,0.019000530242919922
325,0.009999990463256836
326,0.009000062942504883
327,0.015999555587768555
328,0.008998632431030273
329,0.01700139045715332
330,0.010000467300415039
331,0.008001327514648438
332,0.010999679565429688
333,0.01100015640258789
334,0.010997295379638672
335,0.008001089096069336
336,0.008000373840332031
337,0.017000198364257812
338,0.010999917984008789
339,0.012999534606933594
340,0.013998746871948242
341,0.012001752853393555
342,0.010999441146850586
343,0.008999824523925781
344,0.014998912811279297
345,0.031001567840576172
346,0.012514829635620117
347,0.008998632431030273
348,0.014999866485595703
349,0.00799870491027832
350,0.022002696990966797
351,0.008001327514648438
352,0.01099705696105957
353,0.013999700546264648
354,0.01199960708618164
355,0.01700282096862793
356,0.009998559951782227
357,0.013001203536987305
358,0.019000768661499023
359,0.011998414993286133
360,0.010999441146850586
361,0.00899815559387207
362,0.009004354476928711
363,0.016997575759887695
364,0.008001327514648438
365,0.009512186050415039
366,0.017999649047851562
367,0.012000083923339844
368,0.014001131057739258
369,0.014000177383422852
370,0.00799870491027832
371,0.021001100540161133
372,0.008998394012451172
373,0.014000177383422852
374,0.006999492645263672
375,0.015000581741333008
376,0.007999181747436523
377,0.007999181747436523
378,0.009999990463256836
379,0.009001016616821289
380,0.016030073165893555
381,0.013999700546264648
382,0.009969472885131836
383,0.013000965118408203
384,0.008999347686767578
385,0.015001058578491211
386,0.009029150009155273
387,0.00896906852722168
388,0.017000675201416016
389,0.0069997310638427734
390,0.017999887466430664
391,0.017000198364257812
392,0.009001016616821289
393,0.01903367042541504
394,0.01196599006652832
395,0.013999462127685547
396,0.018999338150024414
397,0.008000612258911133
398,0.015002250671386719
399,0.00800013542175293
400,0.007999897003173828
401,0.013000726699829102
402,0.007999658584594727
403,0.01100015640258789
404,0.01299905776977539
405,0.007999420166015625
406,0.016000747680664062
407,0.01900005340576172
408,0.008999824523925781
409,0.013000249862670898
410,0.007999897003173828
411,0.007999181747436523
412,0.019000530242919922
413,0.00900125503540039
414,0.007998943328857422
415,0.00900125503540039
416,0.00800013542175293
417,0.015001296997070312
418,0.013000965118408203
419,0.01999640464782715
420,0.010999441146850586
421,0.010000467300415039
422,0.015000104904174805
423,0.010000944137573242
424,0.01602959632873535
425,0.007999420166015625
426,0.028970718383789062
427,0.007999420166015625
428,0.012999296188354492
429,0.021001815795898438
430,0.007998943328857422
431,0.015000104904174805
432,0.012999534606933594
433,0.011999368667602539
434,0.01200103759765625
435,0.0110015869140625
436,0.017998456954956055
437,0.00800013542175293
438,0.019000768661499023
439,0.013999700546264648
440,0.02299952507019043
441,0.009025812149047852
442,0.015976905822753906
443,0.013576984405517578
444,0.009000301361083984
445,0.016999006271362305
446,0.008023977279663086
447,0.019004106521606445
448,0.007972478866577148
449,0.02302694320678711
450,0.01297140121459961
451,0.008999824523925781
452,0.014000415802001953
453,0.010000467300415039
454,0.010999202728271484
455,0.011999845504760742
456,0.008998632431030273
457,0.008001089096069336
458,0.008000612258911133
459,0.015999794006347656
460,0.010000944137573242
461,0.016999244689941406
462,0.014001846313476562
463,0.014999866485595703
464,0.008001089096069336
465,0.013997793197631836
466,0.02100062370300293
467,0.008000612258911133
468,0.011998414993286133
469,0.009001016616821289
470,0.010999441146850586
471,0.01799917221069336
472,0.008998394012451172
473,0.021002769470214844
474,0.01399993896484375
475,0.010028600692749023
476,0.008999109268188477
477,0.008971691131591797
478,0.013998746871948242
479,0.009029865264892578
480,0.012973308563232422
481,0.008996963500976562
482,0.010001182556152344
483,0.018997907638549805
484,0.008000850677490234
485,0.01300048828125
486,0.008000373840332031
487,0.007999897003173828
488,0.018001794815063477
489,0.011000394821166992
490,0.010027408599853516
491,0.01096963882446289
492,0.013000726699829102
493,0.020998716354370117
494,0.00800013542175293
495,0.008000373840332031
496,0.017999649047851562
497,0.008027791976928711
498,0.024000883102416992
499,0.017000675201416016
500,0.009000062942504883
501,0.01100015640258789
502,0.01900005340576172
503,0.008000612258911133
504,0.021999597549438477
505,0.01600050926208496
506,0.009999990463256836
507,0.019999980926513672
508,0.009999990463256836
509,0.009000062942504883
510,0.022999048233032227
511,0.00800013542175293
512,0.012001276016235352
513,0.012000322341918945
514,0.00902414321899414
515,0.019014358520507812
516,0.0070226192474365234
517,0.009001493453979492
518,0.010968923568725586
519,0.008002519607543945
520,0.01900029182434082
521,0.012000083923339844
522,0.007999420166015625
523,0.009001016616821289
524,0.006999492645263672
525,0.01602625846862793
526,0.011995315551757812
527,0.008975982666015625
528,0.012999534606933594
529,0.013000249862670898
530,0.013999462127685547
531,0.010000228881835938
532,0.007999897003173828
533,0.014027833938598633
534,0.00897359848022461
535,0.00800013542175293
536,0.015998363494873047
537,0.012000322341918945
538,0.008999347686767578
539,0.008002996444702148
540,0.010026693344116211
541,0.010970830917358398
542,0.014027595520019531
543,0.009000301361083984
544,0.02000141143798828
545,0.009973764419555664
546,0.007999897003173828
547,0.029999732971191406
548,0.009000778198242188
549,0.02202916145324707
550,0.008970022201538086
551,0.013999700546264648
552,0.007000446319580078
553,0.010000228881835938
554,0.015000104904174805
555,0.008999347686767578
556,0.01402735710144043
557,0.010006189346313477
558,0.009993791580200195
559,0.01597309112548828
560,0.011021852493286133
561,0.013974189758300781
562,0.008004188537597656
563,0.010999679565429688
564,0.01799750328063965
565,0.01399993896484375
566,0.012001276016235352
567,0.008998394012451172
568,0.0069997310638427734
569,0.014000415802001953
570,0.013029098510742188
571,0.01297140121459961
572,0.00902867317199707
573,0.008002281188964844
574,0.013970375061035156
575,0.013000249862670898
576,0.01399993896484375
577,0.009000062942504883
578,0.007999658584594727
579,0.007997512817382812
580,0.010000228881835938
581,0.008999824523925781
582,0.009999513626098633
583,0.009999990463256836
584,0.011030435562133789
585,0.00799870491027832
586,0.014971256256103516
587,0.011999845504760742
588,0.009001016616821289
589,0.012999773025512695
590,0.007998466491699219
591,0.00700068473815918
592,0.010999679565429688
593,0.008001327514648438
594,0.01399993896484375
595,0.018028974533081055
596,0.007971048355102539
597,0.009000062942504883
598,0.009000301361083984
599,0.009000062942504883
# cuda
