,loss_dataset_1,loss_dataset_2,data_size
0,-0.0036581703,-0.003076398,3000
1,-0.0035855235,-0.0031272979,4000
2,-0.0035788503,-0.0033582428,5000
3,-0.0037037565,-0.0035457034,6000
4,-0.0036645508,-0.003548438,7000
5,-0.0036458857,-0.0037920678,8000
6,-0.0037159694,-0.0037713952,9000
7,-0.00366747,-0.0037358527,10000
8,-0.0036572518,-0.0037542242,11000
9,-0.0036906074,-0.0037914577,12000
10,-0.0036866614,-0.0038487166,13000
11,-0.0037529694,-0.0038695317,14000
12,-0.0037549366,-0.0039075394,15000
13,-0.0037474278,-0.0039279056,16000
14,-0.0037596503,-0.003930457,17000
15,-0.0037027127,-0.0039564697,18000
16,-0.0037086743,-0.003953042,19000
17,-0.0037278354,-0.003953062,20000
18,-0.003709328,-0.0039841067,21000
19,-0.0036956063,-0.003962798,22000
20,-0.0036898586,-0.0039617876,23000
21,-0.0036793475,-0.003970597,24000
22,-0.003657585,-0.003955864,25000
23,-0.003652885,-0.003968286,26000
24,-0.003664786,-0.0039304635,27000
25,-0.0036583901,-0.0039082854,28000
26,-0.0036508455,-0.0039188694,29000
27,-0.0036308721,-0.003922265,30000
28,-0.003619158,-0.003914264,31000
29,-0.0036216907,-0.0039038747,32000
30,-0.0036180792,-0.0039099976,33000
31,-0.0036215293,-0.0039024805,34000
32,-0.0036350288,-0.0039050085,35000
33,-0.0036408808,-0.00393277,36000
34,-0.0036409015,-0.0039082966,37000
35,-0.0036369222,-0.0038973386,38000
36,-0.0036304104,-0.0038998895,39000
