,loss_dataset_1,loss_dataset_2,data_size
0,-0.0028154673,-0.002598064,3000
1,-0.0028339447,-0.0025787922,4000
2,-0.002754243,-0.0025072228,5000
3,-0.0027485238,-0.0025508096,6000
4,-0.002822915,-0.0025935296,7000
5,-0.0027892468,-0.002533859,8000
6,-0.002745945,-0.0025176117,9000
7,-0.002785209,-0.0024944437,10000
8,-0.0028008455,-0.0024366279,11000
9,-0.002785426,-0.0024484408,12000
10,-0.0027564638,-0.0024832475,13000
11,-0.0027492773,-0.002535346,14000
12,-0.0027644986,-0.0025911988,15000
13,-0.002748367,-0.002646924,16000
14,-0.0027376614,-0.0026371258,17000
15,-0.002766651,-0.0026219534,18000
16,-0.0028002677,-0.0026160604,19000
17,-0.0028105741,-0.002590933,20000
18,-0.0028184843,-0.002591239,21000
19,-0.0028070891,-0.0025968438,22000
20,-0.002791587,-0.0025836704,23000
21,-0.0028099488,-0.0025727293,24000
22,-0.0027926015,-0.0026373523,25000
23,-0.0028108829,-0.002655527,26000
24,-0.002811753,-0.0026981763,27000
25,-0.0028030481,-0.0027015905,28000
26,-0.0027777655,-0.002685053,29000
27,-0.0027783716,-0.002704034,30000
28,-0.0027742025,-0.002710978,31000
29,-0.0027823125,-0.0027407927,32000
30,-0.0027667303,-0.0027670818,33000
31,-0.0027710851,-0.0027886997,34000
32,-0.0027710847,-0.0027886238,35000
33,-0.0027876364,-0.0027783632,36000
34,-0.002791717,-0.0028021368,37000
35,-0.0027975729,-0.002805177,38000
36,-0.002796331,-0.0027981303,39000
