,epoch,loss
0,1.0,0.2612171173095703
1,2.0,0.25323694944381714
2,3.0,0.24723009765148163
3,4.0,0.24278660118579865
4,5.0,0.2395135462284088
5,6.0,0.2370891571044922
6,7.0,0.23527267575263977
7,8.0,0.23389147222042084
8,9.0,0.2328246533870697
9,10.0,0.2319905310869217
10,11.0,0.23133647441864014
11,12.0,0.23083095252513885
12,13.0,0.23045554757118225
13,14.0,0.23019787669181824
14,15.0,0.2300461381673813
15,16.0,0.2299852967262268
16,17.0,0.22999468445777893
17,18.0,0.23004795610904694
18,19.0,0.23012040555477142
# <bound method Module.parameters of simple_ANN(
  (l1): Linear(in_features=6, out_features=50, bias=True)
  (l2): Linear(in_features=50, out_features=100, bias=True)
  (l3): Linear(in_features=100, out_features=20, bias=True)
  (output): Linear(in_features=20, out_features=4, bias=True)
  (act): Sigmoid()
)>/n
