,loss_dataset_1,loss_dataset_2,data_size
0,-0.002351391,-0.0025235906,3000
1,-0.0024315808,-0.0025667609,4000
2,-0.002412971,-0.00249878,5000
3,-0.0024226408,-0.0025413102,6000
4,-0.0024415043,-0.0025486297,7000
5,-0.0024314462,-0.0024776969,8000
6,-0.00239177,-0.0024549093,9000
7,-0.002444264,-0.002440082,10000
8,-0.0024259049,-0.0024193835,11000
9,-0.002395876,-0.0023705936,12000
10,-0.002382109,-0.0023464623,13000
11,-0.0023525741,-0.0023406793,14000
12,-0.0023477075,-0.0023098993,15000
13,-0.0023559886,-0.0023003933,16000
14,-0.0023634532,-0.002379467,17000
15,-0.0023588298,-0.00239576,18000
16,-0.00237204,-0.0024170042,19000
17,-0.0023723608,-0.0024408554,20000
18,-0.0023707687,-0.0024427893,21000
19,-0.0023904687,-0.0024362733,22000
20,-0.0023794067,-0.0024320625,23000
21,-0.0024032549,-0.0024663012,24000
22,-0.0024042916,-0.002469997,25000
23,-0.0023900599,-0.0024486626,26000
24,-0.0023978287,-0.0024386002,27000
25,-0.0024088786,-0.0024424207,28000
26,-0.0024199437,-0.002428143,29000
27,-0.0024068335,-0.0024421823,30000
28,-0.0023950883,-0.002455007,31000
29,-0.0024124691,-0.0024346174,32000
30,-0.0024129793,-0.0024207034,33000
31,-0.0024124202,-0.0024312711,34000
32,-0.0024116314,-0.002430362,35000
33,-0.0024129197,-0.0024251472,36000
34,-0.0024051266,-0.0024462584,37000
35,-0.002401209,-0.0024412172,38000
36,-0.0024023312,-0.0024449131,39000
