,loss_dataset_1,loss_dataset_2,data_size
0,-0.0028312574,-0.002572512,3000
1,-0.0027165175,-0.0025127076,4000
2,-0.0026433181,-0.0025496937,5000
3,-0.0025949895,-0.0025708491,6000
4,-0.0025630742,-0.0026500113,7000
5,-0.00253088,-0.0026244756,8000
6,-0.0025520213,-0.0025889515,9000
7,-0.0025328181,-0.0026055793,10000
8,-0.0025173596,-0.0025950759,11000
9,-0.0025237252,-0.0026093635,12000
10,-0.0025265054,-0.0026234633,13000
11,-0.0025737062,-0.0025959574,14000
12,-0.0025476343,-0.0025581357,15000
13,-0.0025462552,-0.0025951255,16000
14,-0.0025615196,-0.0025867869,17000
15,-0.0025569503,-0.0025575212,18000
16,-0.0025421127,-0.0025539345,19000
17,-0.0025125225,-0.0025757425,20000
18,-0.002514992,-0.0025682375,21000
19,-0.0024966025,-0.0025618544,22000
20,-0.002490736,-0.0025497642,23000
21,-0.0024946851,-0.0025428568,24000
22,-0.0024856436,-0.0025586544,25000
23,-0.0024889319,-0.0025469176,26000
24,-0.0024933026,-0.0025493721,27000
25,-0.0025057918,-0.0025512127,28000
26,-0.0025078293,-0.0025476331,29000
27,-0.0024929866,-0.002540505,30000
28,-0.0024849256,-0.0025438853,31000
29,-0.0024811677,-0.002540062,32000
30,-0.0024822063,-0.0025578872,33000
31,-0.0024881028,-0.0025577478,34000
32,-0.0024882066,-0.0025744794,35000
33,-0.0024854648,-0.0025601243,36000
34,-0.0024842343,-0.0025553838,37000
35,-0.0024823267,-0.0025621734,38000
36,-0.0024795593,-0.0025546274,39000
