,test_time_consume(s),trainning_time_consume(s)
0,0.011998415,6.809645414
1,0.027973175,92.54338837
2,0.021025896,91.16359925
3,0.024989367,79.32030082
4,0.051970005,1564.098549
5,0.022995949,4.02702117
6,0.011000156,6.358000517
7,0.016999006,110.2962518
8,0.024997234,79.69043112
9,0.030000448,802.5124547
10,0.013999939,20.3105669
11,0.009999275,0.806970596
12,0.01102829,1.148247719
13,0.01099968,3.166998863
14,0.025001287,299.6675193
15,0.011000395,3.280996323
16,0.024001122,350.3966691
17,0.009999037,0.998975992
18,0.024999857,643.8548088
19,0.008999825,0.268999338
20,0.018998861,153.0502317
21,0.0189991,21.72900081
22,0.01099968,1.067000389
23,0.009999752,1.715999842
24,0.00999999,2.143000603
25,0.009000063,0.328998804
26,0.020000696,6.124000072
27,0.013999939,47.06868267
28,0.008998156,0.423002005
29,0.022973299,595.2325325
30,0.017999172,55.71117687
31,0.012000799,0.809999466
# cpu,,
