,loss_dataset_1,loss_dataset_2,data_size
0,-0.0025165535,-0.0024326167,3000
1,-0.0024873144,-0.0024340167,4000
2,-0.0024515712,-0.0025030873,5000
3,-0.002453234,-0.0025555177,6000
4,-0.0024565123,-0.002547189,7000
5,-0.0024412072,-0.0025429022,8000
6,-0.002471341,-0.0024769895,9000
7,-0.0024698686,-0.0024488752,10000
8,-0.0024575978,-0.0025074885,11000
9,-0.0024273214,-0.0025929634,12000
10,-0.0024494703,-0.0026384622,13000
11,-0.0024734666,-0.0026441005,14000
12,-0.002494506,-0.0026624878,15000
13,-0.0025018745,-0.0026838956,16000
14,-0.0025010542,-0.0026986576,17000
15,-0.0024840964,-0.0027471804,18000
16,-0.002465465,-0.0027842573,19000
17,-0.0024690288,-0.0027946692,20000
18,-0.0024981603,-0.0027827432,21000
19,-0.002505521,-0.0027925877,22000
20,-0.0024915012,-0.002774854,23000
21,-0.0024914772,-0.002759267,24000
22,-0.0024967443,-0.0027801746,25000
23,-0.0024942267,-0.0027798365,26000
24,-0.0024929459,-0.0027692646,27000
25,-0.0024881014,-0.0027918648,28000
26,-0.0024781178,-0.0027878995,29000
27,-0.0024718053,-0.0027791471,30000
28,-0.0024598022,-0.002763778,31000
29,-0.002455817,-0.0027557625,32000
30,-0.0024624623,-0.0027357992,33000
31,-0.0024633713,-0.0027202729,34000
32,-0.0024640223,-0.0027126144,35000
33,-0.0024477714,-0.0027232794,36000
34,-0.0024542944,-0.0027260103,37000
35,-0.0024592706,-0.002719273,38000
36,-0.002468727,-0.0027239914,39000
