,loss_dataset_1,loss_dataset_2,data_size
0,-0.0022381153,-0.0020984388,3000
1,-0.0021677774,-0.0020348588,4000
2,-0.0021546236,-0.0020906825,5000
3,-0.0021775835,-0.0021118263,6000
4,-0.002239039,-0.0023215932,7000
5,-0.0022210884,-0.0023501539,8000
6,-0.0021825912,-0.002363066,9000
7,-0.0022041656,-0.0023469122,10000
8,-0.0021969993,-0.0023403037,11000
9,-0.002187871,-0.0023226715,12000
10,-0.0021602467,-0.002368673,13000
11,-0.0021964812,-0.002377746,14000
12,-0.0021917261,-0.0023328434,15000
13,-0.0022404168,-0.0023096022,16000
14,-0.0022238265,-0.002296923,17000
15,-0.0021772503,-0.002272361,18000
16,-0.002185274,-0.0022969334,19000
17,-0.0021791353,-0.0022695013,20000
18,-0.0021829833,-0.0022610393,21000
19,-0.0021847608,-0.00225526,22000
20,-0.0021938335,-0.0022454686,23000
21,-0.0021854253,-0.0022796188,24000
22,-0.002203261,-0.0023031621,25000
23,-0.0022231834,-0.0023008767,26000
24,-0.0022094594,-0.0023229956,27000
25,-0.0022246267,-0.002335542,28000
26,-0.002211777,-0.0023418765,29000
27,-0.002200715,-0.0023274445,30000
28,-0.0021949294,-0.0023222896,31000
29,-0.0021898365,-0.0023011374,32000
30,-0.002189428,-0.002300275,33000
31,-0.0021815458,-0.0022935388,34000
32,-0.0021842401,-0.0023218873,35000
33,-0.002187795,-0.0023101221,36000
34,-0.0021870104,-0.002301231,37000
35,-0.002186397,-0.0022905318,38000
36,-0.0021854937,-0.0023030466,39000
