,loss_dataset_1,loss_dataset_2,data_size
0,-0.0032130945,-0.0035579398,3000
1,-0.0033376247,-0.00351397,4000
2,-0.0034418844,-0.0035172687,5000
3,-0.0034449443,-0.003615187,6000
4,-0.003440566,-0.0036924966,7000
5,-0.0034795995,-0.0036882248,8000
6,-0.0034893923,-0.0036355127,9000
7,-0.003480269,-0.0036764122,10000
8,-0.0034867756,-0.0036624386,11000
9,-0.0034753599,-0.0036502995,12000
10,-0.003450246,-0.003652087,13000
11,-0.003446354,-0.0036165514,14000
12,-0.0034497299,-0.0036425858,15000
13,-0.0034254368,-0.0036511738,16000
14,-0.0034274613,-0.0036448068,17000
15,-0.0034177403,-0.0036707607,18000
16,-0.0034289819,-0.003682234,19000
17,-0.0034410104,-0.0036796287,20000
18,-0.003436823,-0.0036729772,21000
19,-0.0034040897,-0.0037165813,22000
20,-0.0034131124,-0.0037215464,23000
21,-0.0034175038,-0.0037402664,24000
22,-0.0033993057,-0.0037254908,25000
23,-0.0034163208,-0.003721587,26000
24,-0.0034010825,-0.003714952,27000
25,-0.003403692,-0.0037410115,28000
26,-0.0034001272,-0.0037243306,29000
27,-0.0033891653,-0.003688017,30000
28,-0.0033809126,-0.0037073637,31000
29,-0.003368888,-0.0037345602,32000
30,-0.0033754245,-0.003733813,33000
31,-0.0033626538,-0.0037473864,34000
32,-0.0033623786,-0.003747785,35000
33,-0.0033652117,-0.003719148,36000
34,-0.0033668317,-0.0037031458,37000
35,-0.0033589657,-0.0037020016,38000
36,-0.0033561855,-0.003706644,39000
