,loss_dataset_1,loss_dataset_2,data_size
0,-0.0034040466,-0.0032891291,3000
1,-0.0033609718,-0.003404726,4000
2,-0.0033490774,-0.003456754,5000
3,-0.0034231334,-0.0033794001,6000
4,-0.0033889413,-0.0033797338,7000
5,-0.0034306776,-0.0035014928,8000
6,-0.0034189946,-0.003555344,9000
7,-0.0034828428,-0.0034305067,10000
8,-0.0034762875,-0.0034434781,11000
9,-0.0034498195,-0.0034616266,12000
10,-0.0034677994,-0.0034929856,13000
11,-0.0034758789,-0.003453149,14000
12,-0.003456295,-0.003458235,15000
13,-0.003475279,-0.0035304956,16000
14,-0.003498021,-0.003519734,17000
15,-0.003514386,-0.0035742442,18000
16,-0.0034718222,-0.003585559,19000
17,-0.0034752954,-0.003632789,20000
18,-0.0034881167,-0.0036239836,21000
19,-0.0034724455,-0.0036018505,22000
20,-0.003471674,-0.003582172,23000
21,-0.0034581318,-0.0035770915,24000
22,-0.0034428486,-0.003566747,25000
23,-0.0034563406,-0.0035810575,26000
24,-0.0034325614,-0.0035520147,27000
25,-0.0034386776,-0.0035372227,28000
26,-0.0034440488,-0.0035380642,29000
27,-0.0034509837,-0.0035422675,30000
28,-0.0034432367,-0.0035447734,31000
29,-0.0034230608,-0.0035593975,32000
30,-0.0034163608,-0.003548713,33000
31,-0.0033969376,-0.0035581894,34000
32,-0.0033956985,-0.0035530385,35000
33,-0.003388793,-0.0035595964,36000
34,-0.0033889678,-0.0035614423,37000
35,-0.0033833976,-0.0035473786,38000
36,-0.0033746096,-0.0035509379,39000
