,load_time_consume(s),test_time_consume(s),data_size
0,2.229996919631958,0.09651017189025879,3000
1,2.446000099182129,0.1249997615814209,4000
2,2.2330291271209717,0.23897075653076172,5000
3,2.313508987426758,0.14800095558166504,6000
4,2.391507863998413,0.21499991416931152,7000
5,2.4970314502716064,0.24796748161315918,8000
6,2.4609997272491455,0.26599979400634766,9000
7,2.4049994945526123,0.34200096130371094,10000
8,2.8455121517181396,0.29799747467041016,11000
9,2.3545079231262207,0.5240006446838379,12000
10,2.540998935699463,0.5300002098083496,13000
11,2.73302960395813,0.3989698886871338,14000
12,2.834540843963623,0.39099884033203125,15000
13,2.963000535964966,0.3990015983581543,16000
14,2.5415117740631104,0.6119999885559082,17000
15,3.179999589920044,0.5149998664855957,18000
16,3.4615726470947266,0.6509990692138672,19000
17,3.3895068168640137,0.8159999847412109,20000
18,2.932999849319458,0.5429990291595459,21000
19,2.656001329421997,0.6050014495849609,22000
20,3.014000415802002,0.5969996452331543,23000
21,2.9670021533966064,0.670997142791748,24000
22,3.2050020694732666,0.6839978694915771,25000
23,3.4359982013702393,0.8550000190734863,26000
24,3.3819994926452637,0.7085108757019043,27000
25,3.294999361038208,0.7099997997283936,28000
26,3.5739998817443848,1.3085122108459473,29000
27,3.456998348236084,1.1629998683929443,30000
28,3.2619988918304443,1.513000726699829,31000
29,3.7230007648468018,1.7480008602142334,32000
30,3.7509994506835938,1.3200018405914307,33000
31,4.065999746322632,0.9979996681213379,34000
32,3.778999090194702,1.2810027599334717,35000
33,4.330000400543213,1.218998670578003,36000
34,4.285000324249268,1.565002679824829,37000
35,3.8610241413116455,1.7770004272460938,38000
36,3.812000274658203,1.6535124778747559,39000
