,load_time_consume(s),test_time_consume(s),data_size
0,3.5610270500183105,0.0839698314666748,3000
1,3.5589993000030518,0.12100076675415039,4000
2,3.365537166595459,0.17796993255615234,5000
3,3.6425745487213135,0.21596622467041016,6000
4,3.6410300731658936,0.20297002792358398,7000
5,3.764514446258545,0.2720017433166504,8000
6,3.454486608505249,0.33997106552124023,9000
7,3.620541572570801,0.2799677848815918,10000
8,3.443601608276367,0.24396848678588867,11000
9,2.9510347843170166,0.2619657516479492,12000
10,2.9275968074798584,0.32896947860717773,13000
11,2.9695732593536377,0.32896900177001953,14000
12,3.0390307903289795,0.36496877670288086,15000
13,2.925604820251465,0.37397050857543945,16000
14,2.9930312633514404,0.4229700565338135,17000
15,3.0390279293060303,0.41497159004211426,18000
16,3.126030206680298,0.46147894859313965,19000
17,3.016031503677368,0.46896815299987793,20000
18,3.0050294399261475,0.4659712314605713,21000
19,2.967541456222534,0.5249974727630615,22000
20,3.0886001586914062,0.5019702911376953,23000
21,3.168973445892334,0.5469975471496582,24000
22,2.9280319213867188,0.5689680576324463,25000
23,3.017031192779541,0.6334784030914307,26000
24,3.0336015224456787,0.6119697093963623,27000
25,3.056509017944336,0.6499974727630615,28000
26,3.137000799179077,0.6749691963195801,29000
27,3.041606903076172,0.7019698619842529,30000
28,2.990546464920044,0.7279620170593262,31000
29,3.0575997829437256,0.7239692211151123,32000
30,3.0490009784698486,0.7499980926513672,33000
31,3.1470303535461426,0.807969331741333,34000
32,3.1470069885253906,0.7849705219268799,35000
33,3.1100265979766846,0.7849740982055664,36000
34,3.0680291652679443,0.8389711380004883,37000
35,3.100029945373535,0.8729701042175293,38000
36,3.190572500228882,0.8749973773956299,39000
